,10,11,12,13,21,22,23,31,32,11_111,12_12,12_112,21_21,22_122,22_21,9,2
0,0.0,0.00946353,0.00946353,0.00630902,0.00946353,0.01261804,0.00946353,0.00630902,0.00630902,0.0,0.0,0.0,0.0,0.0,0.0,-0.117737316,0.048338108
3600,0.0,0.0113562355,0.0113562355,0.0075708246,0.0113562355,0.015141649,0.0113562355,0.0075708246,0.0075708246,0.0,0.0,0.0,0.0,0.0,0.0,-0.11701941,0.03374034
7200,0.0,0.013248942,0.013248942,0.008832628,0.013248942,0.017665256,0.013248942,0.008832628,0.008832628,0.0,0.0,0.0,0.0,0.0,0.0,-0.116638325,0.019479413
10800,0.0,0.015141649,0.015141649,0.010094432,0.015141649,0.020188864,0.015141649,0.010094432,0.010094432,0.0,0.0,0.0,0.0,0.0,0.0,-0.11658567,0.005546926
14400,0.0,0.013248942,0.013248942,0.008832628,0.013248942,0.017665256,0.013248942,0.008832628,0.008832628,0.0,0.0,0.0,0.0,0.0,0.0,-0.11605654,0.018897625
18000,0.0,0.0113562355,0.0113562355,0.0075708246,0.0113562355,0.015141649,0.0113562355,0.0075708246,0.0075708246,0.0,0.0,0.0,0.0,0.0,0.0,-0.11521548,0.03193641
21600,0.0,0.00946353,0.00946353,0.00630902,0.00946353,0.01261804,0.00946353,0.00630902,0.00630902,0.0,0.0,0.0,0.0,0.0,0.0,-0.114071175,0.044671968
25200,0.0,0.0075708246,0.0075708246,0.005047216,0.0075708246,0.010094432,0.0075708246,0.005047216,0.005047216,0.0,0.0,0.0,0.0,0.0,0.0,-0.1126318,0.057112414
28800,0.0,0.0056781177,0.0056781177,0.0037854123,0.0056781177,0.0075708246,0.0056781177,0.0037854123,0.0037854123,0.0,0.0,0.0,0.0,0.0,0.0,-0.11091008,0.06927055
32400,0.0,0.0037854123,0.0037854123,0.002523608,0.0037854123,0.005047216,0.0037854123,0.002523608,0.002523608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027759742
36000,0.0,0.0056781177,0.0056781177,0.0037854123,0.0056781177,0.0075708246,0.0056781177,0.0037854123,0.0037854123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041639585
39600,0.0,0.0075708246,0.0075708246,0.005047216,0.0075708246,0.010094432,0.0075708246,0.005047216,0.005047216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055519424
43200,0.0,0.00946353,0.00946353,0.00630902,0.00946353,0.01261804,0.00946353,0.00630902,0.00630902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06939927
46800,0.0,0.0113562355,0.0113562355,0.0075708246,0.0113562355,0.015141649,0.0113562355,0.0075708246,0.0075708246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08327911
50400,0.0,0.013248942,0.013248942,0.008832628,0.013248942,0.017665256,0.013248942,0.008832628,0.008832628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09715896
54000,0.0,0.015141649,0.015141649,0.010094432,0.015141649,0.020188864,0.015141649,0.010094432,0.010094432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1110388
57600,0.0,0.013248942,0.013248942,0.008832628,0.013248942,0.017665256,0.013248942,0.008832628,0.008832628,0.0,0.0,0.0,0.0,0.0,0.0,-0.12202094,0.024862032
61200,0.0,0.0113562355,0.0113562355,0.0075708246,0.0113562355,0.015141649,0.0113562355,0.0075708246,0.0075708246,0.0,0.0,0.0,0.0,0.0,0.0,-0.121072076,0.037793014
64800,0.0,0.00946353,0.00946353,0.00630902,0.00946353,0.01261804,0.00946353,0.00630902,0.00630902,0.0,0.0,0.0,0.0,0.0,0.0,-0.11983745,0.050438225
68400,0.0,0.0075708246,0.0075708246,0.005047216,0.0075708246,0.010094432,0.0075708246,0.005047216,0.005047216,0.0,0.0,0.0,0.0,0.0,0.0,-0.11832455,0.06280517
72000,0.0,0.0056781177,0.0056781177,0.0037854123,0.0056781177,0.0075708246,0.0056781177,0.0037854123,0.0037854123,0.0,0.0,0.0,0.0,0.0,0.0,-0.1165439,0.07490436
75600,0.0,0.0037854123,0.0037854123,0.002523608,0.0037854123,0.005047216,0.0037854123,0.002523608,0.002523608,0.0,0.0,0.0,0.0,0.0,0.0,-0.114438884,0.0866792
79200,0.0,0.0056781177,0.0056781177,0.0037854123,0.0056781177,0.0075708246,0.0056781177,0.0037854123,0.0037854123,0.0,0.0,0.0,0.0,0.0,0.0,-0.112767786,0.07112826
82800,0.0,0.0075708246,0.0075708246,0.005047216,0.0075708246,0.010094432,0.0075708246,0.005047216,0.005047216,0.0,0.0,0.0,0.0,0.0,0.0,-0.11141842,0.055899043
86400,0.0,0.00946353,0.00946353,0.00630902,0.00946353,0.01261804,0.00946353,0.00630902,0.00630902,0.0,0.0,0.0,0.0,0.0,0.0,-0.11044894,0.041049715
