,10,11,12,13,21,22,23,31,32,12_12,13_12,2_110,11_11,21_21,21_121,22_122,13_113,12_110,9,2
0,0.0,0.00946353,0.00946353,0.00630902,0.00946353,0.01261804,0.00946353,0.00630902,0.00630902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11773705,0.048337832
3600,0.0,0.0113562355,0.0113562355,0.0075708246,0.0113562355,0.015141649,0.0113562355,0.0075708246,0.0075708246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11701919,0.033740126
7200,0.0,0.013248942,0.013248942,0.008832628,0.013248942,0.017665256,0.013248942,0.008832628,0.008832628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11663815,0.019479237
10800,0.0,0.015141649,0.015141649,0.010094432,0.015141649,0.020188864,0.015141649,0.010094432,0.010094432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11658554,0.005546785
14400,0.0,0.013248942,0.013248942,0.008832628,0.013248942,0.017665256,0.013248942,0.008832628,0.008832628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.116056375,0.018897468
18000,0.0,0.0113562355,0.0113562355,0.0075708246,0.0113562355,0.015141649,0.0113562355,0.0075708246,0.0075708246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11521529,0.031936225
21600,0.0,0.00946353,0.00946353,0.00630902,0.00946353,0.01261804,0.00946353,0.00630902,0.00630902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11407095,0.044671737
25200,0.0,0.0075708246,0.0075708246,0.005047216,0.0075708246,0.010094432,0.0075708246,0.005047216,0.005047216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112631515,0.05711214
28800,0.0,0.0056781177,0.0056781177,0.0037854123,0.0056781177,0.0075708246,0.0056781177,0.0037854123,0.0037854123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11090976,0.06927023
32400,0.0,0.0037854123,0.0037854123,0.002523608,0.0037854123,0.005047216,0.0037854123,0.002523608,0.002523608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027759742
36000,0.0,0.0056781177,0.0056781177,0.0037854123,0.0056781177,0.0075708246,0.0056781177,0.0037854123,0.0037854123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041639585
39600,0.0,0.0075708246,0.0075708246,0.005047216,0.0075708246,0.010094432,0.0075708246,0.005047216,0.005047216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055519424
43200,0.0,0.00946353,0.00946353,0.00630902,0.00946353,0.01261804,0.00946353,0.00630902,0.00630902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06939927
46800,0.0,0.0113562355,0.0113562355,0.0075708246,0.0113562355,0.015141649,0.0113562355,0.0075708246,0.0075708246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08327912
50400,0.0,0.013248942,0.013248942,0.008832628,0.013248942,0.017665256,0.013248942,0.008832628,0.008832628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09715896
54000,0.0,0.015141649,0.015141649,0.010094432,0.015141649,0.020188864,0.015141649,0.010094432,0.010094432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1110388
57600,0.0,0.013248942,0.013248942,0.008832628,0.013248942,0.017665256,0.013248942,0.008832628,0.008832628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12202079,0.02486188
61200,0.0,0.0113562355,0.0113562355,0.0075708246,0.0113562355,0.015141649,0.0113562355,0.0075708246,0.0075708246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12107189,0.037792828
64800,0.0,0.00946353,0.00946353,0.00630902,0.00946353,0.01261804,0.00946353,0.00630902,0.00630902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11983722,0.05043799
68400,0.0,0.0075708246,0.0075708246,0.005047216,0.0075708246,0.010094432,0.0075708246,0.005047216,0.005047216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11832426,0.062804885
72000,0.0,0.0056781177,0.0056781177,0.0037854123,0.0056781177,0.0075708246,0.0056781177,0.0037854123,0.0037854123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11654356,0.07490404
75600,0.0,0.0037854123,0.0037854123,0.002523608,0.0037854123,0.005047216,0.0037854123,0.002523608,0.002523608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11443849,0.0866788
79200,0.0,0.0056781177,0.0056781177,0.0037854123,0.0056781177,0.0075708246,0.0056781177,0.0037854123,0.0037854123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11276751,0.071127966
82800,0.0,0.0075708246,0.0075708246,0.005047216,0.0075708246,0.010094432,0.0075708246,0.005047216,0.005047216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1114182,0.055898827
86400,0.0,0.00946353,0.00946353,0.00630902,0.00946353,0.01261804,0.00946353,0.00630902,0.00630902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11044879,0.04104957
