,10,11,22,31,110,113,121,111_11,111,12_12,12,112_12,112,21_21,122_22,122,21_22,21,9
0,0.117737316,0.077866934,0.007612656,0.0025748094,-0.048338108,0.0018508742,0.00888383,0.030406851,0.030406851,0.0081598945,0.0081598945,0.011905414,0.011905414,0.012059492,0.0037342107,0.0037342107,0.012059492,0.012059492,0.117737316
3600,0.11701941,0.074329965,0.008062886,0.0026787107,-0.03374034,0.0032933506,0.010249534,0.031333197,0.031333197,0.010864175,0.010864175,0.01836922,0.01836922,0.009727427,0.004892113,0.004892113,0.009727427,0.009727427,0.11701941
7200,0.116638325,0.070867136,0.008542973,0.0028895417,-0.019479413,0.004705969,0.01172217,0.03252224,0.03252224,0.013538597,0.013538597,0.02460019,0.02460019,0.0075511257,0.005943086,0.005943086,0.0075511257,0.0075511257,0.116638325
10800,0.11658567,0.06750946,0.009060976,0.0031675992,-0.005546926,0.006080672,0.013262032,0.033934575,0.033934575,0.016175104,0.016175104,0.030645777,0.030645777,0.0055308947,0.0069268323,0.0069268323,0.0055308947,0.0055308947,0.11658567
14400,0.11605654,0.07040038,0.008518114,0.0028839468,-0.018897625,0.0047308286,0.011716574,0.03240721,0.03240721,0.013563456,0.013563456,0.024690358,0.024690358,0.007441692,0.005948681,0.005948681,0.007441693,0.007441692,0.11605654
18000,0.11521548,0.07289923,0.007983657,0.002653873,-0.03193641,0.0033725796,0.010224697,0.030960014,0.030960014,0.010943404,0.010943404,0.018663175,0.018663175,0.009379079,0.004916951,0.004916951,0.009379079,0.009379079,0.11521548
21600,0.114071175,0.0749937,0.007450713,0.0025040195,-0.044671968,0.0020128174,0.008813039,0.029613959,0.029613959,0.0083218375,0.0083218375,0.012536367,0.012536367,0.0113373855,0.0038050006,0.0038050006,0.0113373855,0.0113373855,0.114071175
25200,0.1126318,0.07665387,0.0068844785,0.0024830329,-0.057112414,0.0006863452,0.0075302483,0.028407102,0.028407102,0.0057335612,0.0057335612,0.0062370664,0.0062370664,0.013306027,0.0025641832,0.0025641832,0.013306027,0.013306027,0.1126318
28800,0.11091008,0.07780059,0.0058584763,0.002695196,-0.06927055,-0.00018035797,0.006480608,0.027431382,0.027431382,0.0036050538,0.0036050538,-0.00075313944,-0.0007531396,0.0152726555,0.0010902159,0.0010902159,0.0152726555,0.0152726555,0.11091008
32400,-5.354787e-08,-0.0090438,0.0015502936,0.0007234888,0.027759742,0.0022351183,0.003247097,0.0052583334,0.0052583334,0.0047587263,0.0047587263,0.010171804,0.010171804,-0.0017741753,0.0018001191,0.0018001191,-0.0017741753,-0.0017741753,0.0
36000,-5.287475e-08,-0.013565675,0.0023254415,0.0010852334,0.041639585,0.0033526768,0.0048706457,0.007887504,0.007887504,0.007138089,0.007138089,0.015257703,0.015257703,-0.0026612591,0.0027001784,0.0027001784,-0.0026612591,-0.0026612591,0.0
39600,-5.209495e-08,-0.018087551,0.0031005892,0.001446978,0.055519424,0.004470235,0.006494194,0.010516675,0.010516675,0.009517451,0.009517451,0.020343604,0.020343604,-0.0035483434,0.0036002381,0.0036002381,-0.0035483434,-0.0035483434,0.0
43200,-5.1007213e-08,-0.022609426,0.0038757368,0.0018087225,0.06939927,0.005587793,0.008117742,0.013145845,0.013145845,0.011896813,0.011896813,0.025429502,0.025429502,-0.0044354275,0.004500298,0.004500298,-0.0044354275,-0.0044354275,0.0
46800,-4.9286392e-08,-0.0271313,0.0046508843,0.002170467,0.08327911,0.0067053516,0.009741291,0.015775016,0.015775016,0.014276176,0.014276176,0.030515399,0.030515399,-0.005322511,0.005400357,0.005400357,-0.005322511,-0.005322511,0.0
50400,-4.7723578e-08,-0.031653177,0.005426032,0.0025322116,0.09715896,0.007822909,0.011364839,0.018404186,0.018404186,0.016655538,0.016655538,0.0356013,0.0356013,-0.0062095947,0.006300416,0.006300416,-0.0062095947,-0.0062095947,0.0
54000,-4.589873e-08,-0.03617505,0.0062011797,0.0028939564,0.1110388,0.008940469,0.012988388,0.021033358,0.021033358,0.0190349,0.0190349,0.0406872,0.0406872,-0.007096678,0.007200476,0.007200476,-0.007096678,-0.007096678,0.0
57600,0.12202094,0.07517689,0.008774276,0.0029448343,-0.024862032,0.0044746655,0.011777462,0.03359511,0.03359511,0.013307293,0.013307293,0.023758622,0.023758622,0.008568705,0.0058877934,0.0058877934,0.008568705,0.008568705,0.12202094
61200,0.121072076,0.07753867,0.008241369,0.0027374504,-0.037793014,0.003114866,0.010308275,0.03217717,0.03217717,0.010685691,0.010685691,0.017703732,0.017703732,0.010512659,0.0048333732,0.0048333732,0.010512659,0.010512659,0.121072076
