,10,22,31,111,112,12_12,12_13,12,110_2,11_11,11,21_21,21,121_21,121,122_22,122,113_13,113,110_12,110,9
0,0.11773705,0.0076130712,0.002574808,0.030407922,0.011904759,0.008159479,0.008159479,0.008159479,-0.048337832,0.0778656,0.0778656,0.012060563,0.012060563,0.008883828,0.008883828,0.003734212,0.003734212,0.0018504588,0.0018504588,-0.048337832,-0.048337832,0.11773705
3600,0.11701919,0.008063389,0.002678685,0.03133421,0.018368714,0.01086367,0.01086367,0.01086367,-0.033740126,0.07432875,0.07432875,0.009728463,0.009728463,0.0102495095,0.0102495095,0.004892139,0.004892139,0.003292847,0.003292847,-0.033740126,-0.033740126,0.11701919
7200,0.11663815,0.008543562,0.002889493,0.032523192,0.024599822,0.013538009,0.013538009,0.013538009,-0.019479237,0.07086601,0.07086601,0.0075521315,0.0075521315,0.01172212,0.01172212,0.0059431344,0.0059431344,0.00470538,0.00470538,-0.019479237,-0.019479237,0.11663815
10800,0.11658554,0.009061647,0.0031675294,0.033935484,0.030645536,0.016174432,0.016174432,0.016174432,-0.005546785,0.0675084,0.0675084,0.0055318777,0.0055318777,0.013261961,0.013261961,0.0069269026,0.0069269026,0.0060800007,0.0060800007,-0.0055467845,-0.005546785,0.11658554
14400,0.116056375,0.008518715,0.0028839,0.032408196,0.024689972,0.013562854,0.013562854,0.013562854,-0.018897468,0.07039924,0.07039924,0.007442726,0.007442726,0.011716528,0.011716528,0.0059487284,0.0059487284,0.0047302265,0.0047302265,-0.018897468,-0.018897468,0.116056375
18000,0.11521529,0.007984183,0.0026538556,0.030961042,0.01866267,0.010942877,0.010942877,0.010942877,-0.031936225,0.07289801,0.07289801,0.009380128,0.009380128,0.0102246795,0.0102246795,0.0049169688,0.0049169688,0.0033720532,0.0033720532,-0.031936225,-0.031936225,0.11521529
21600,0.11407095,0.0074511305,0.002504015,0.02961499,0.012535751,0.008321419,0.008321419,0.008321419,-0.044671737,0.07499243,0.07499243,0.011338426,0.011338426,0.008813036,0.008813036,0.0038050052,0.0038050052,0.0020124,0.0020124,-0.044671737,-0.044671737,0.11407095
25200,0.112631515,0.0068847993,0.0024830522,0.028408175,0.0062363106,0.005733241,0.005733241,0.005733241,-0.05711214,0.07665251,0.07665251,0.013307084,0.013307084,0.0075302687,0.0075302687,0.0025641634,0.0025641634,0.0006860249,0.00068602496,-0.05711214,-0.05711214,0.112631515
28800,0.11090976,0.005858597,0.0026952415,0.027432496,-0.0007541338,0.003604933,0.003604933,0.003604933,-0.06927023,0.07779915,0.07779915,0.015273725,0.015273725,0.006480654,0.006480654,0.0010901706,0.0010901706,-0.00018047924,-0.00018047926,-0.06927023,-0.06927023,0.11090976
32400,-5.354787e-08,0.0015504409,0.00072346703,0.0052582966,0.010171987,0.004758579,0.004758579,0.004758579,0.027759742,-0.0090437615,-0.0090437615,-0.0017741902,-0.0017741902,0.003247075,0.003247075,0.0018001411,0.0018001411,0.0022349712,0.0022349712,0.027759742,0.027759742,0.0
36000,-5.30674e-08,0.0023256622,0.0010852007,0.007887449,0.015257979,0.0071378676,0.0071378676,0.0071378676,0.041639585,-0.01356562,-0.01356562,-0.0026612817,-0.0026612817,0.0048706126,0.0048706126,0.0027002112,0.0027002112,0.0033524558,0.0033524558,0.041639585,0.041639585,0.0
39600,-5.209495e-08,0.0031008834,0.0014469343,0.010516601,0.02034397,0.009517156,0.009517156,0.009517156,0.055519424,-0.018087476,-0.018087476,-0.0035483732,-0.0035483732,0.00649415,0.00649415,0.0036002817,0.0036002817,0.0044699404,0.0044699404,0.055519424,0.055519424,0.0
43200,-5.0907378e-08,0.003876105,0.0018086681,0.013145753,0.025429962,0.0118964445,0.0118964445,0.0118964445,0.06939927,-0.022609334,-0.022609334,-0.004435465,-0.004435465,0.008117688,0.008117688,0.0045003523,0.0045003523,0.0055874255,0.0055874255,0.06939927,0.06939927,0.0
46800,-4.9593687e-08,0.004651326,0.0021704016,0.015774904,0.030515952,0.014275733,0.014275733,0.014275733,0.08327912,-0.02713119,-0.02713119,-0.005322556,-0.005322556,0.009741225,0.009741225,0.005400422,0.005400422,0.0067049097,0.0067049097,0.08327912,0.08327912,0.0
50400,-4.772406e-08,0.0054265475,0.0025321355,0.01840406,0.035601944,0.016655024,0.016655024,0.016655024,0.09715896,-0.031653047,-0.031653047,-0.0062096473,-0.0062096473,0.011364764,0.011364764,0.0063004927,0.0063004927,0.007822395,0.007822395,0.09715896,0.09715896,0.0
54000,-4.589873e-08,0.0062017688,0.0028938688,0.021033209,0.040687934,0.01903431,0.01903431,0.01903431,0.1110388,-0.0361749,-0.0361749,-0.007096739,-0.007096739,0.012988301,0.012988301,0.0072005633,0.0072005633,0.008939879,0.008939879,0.1110388,0.1110388,0.0
57600,0.12202079,0.00877488,0.002944795,0.03359616,0.02375817,0.01330669,0.01330669,0.01330669,-0.02486188,0.07517568,0.07517568,0.0085698,0.0085698,0.011777423,0.011777423,0.005887833,0.005887833,0.004474062,0.004474062,-0.024861878,-0.02486188,0.12202079
61200,0.12107189,0.008241898,0.0027374416,0.032178268,0.01770316,0.010685162,0.010685162,0.010685162,-0.037792828,0.07753739,0.07753739,0.010513768,0.010513768,0.010308266,0.010308266,0.0048333826,0.0048333826,0.0031143369,0.0031143369,-0.037792828,-0.037792828,0.12107189
64800,0.11983722,0.00770561,0.0026170511,0.030864654,0.011540563,0.00806694,0.00806694,0.00806694,-0.05043799,0.07950902,0.07950902,0.012475055,0.012475055,0.008926071,0.008926071,0.0036919687,0.0036919687,0.0017579197,0.0017579197,-0.05043799,-0.05043799,0.11983722
68400,0.11832426,0.0071148146,0.00263622,0.029696802,0.0051777014,0.0055032247,0.0055032247,0.0055032247,-0.062804885,0.08105663,0.08105663,0.014442542,0.014442542,0.0076834364,0.0076834364,0.0024109958,0.0024109958,0.00045600891,0.00045600891,-0.062804885,-0.062804885,0.11832426
72000,0.11654356,0.0059717875,0.0029055183,0.028754432,-0.0019628776,0.0034917425,0.0034917425,0.0034917425,-0.07490404,0.082111016,0.082111016,0.016385382,0.016385382,0.0066909306,0.0066909306,0.00087989366,0.00087989366,-0.0002936694,-0.0002936694,-0.07490404,-0.07490404,0.11654356
75600,0.11443849,0.005689323,0.0034315926,0.027635014,-0.008065846,0.00061969645,0.00061969657,0.00061969657,-0.0866788,0.083018064,0.083018064,0.0178944,0.0178944,0.0059552,0.0059552,-0.0009079847,-0.0009079847,-0.0019039112,-0.0019039115,-0.0866788,-0.0866788,0.11443849
79200,0.11276751,0.0058891405,0.0027636304,0.027869597,-0.0011606901,0.0035743897,0.0035743897,0.0035743897,-0.071127966,0.07921979,0.07921979,0.015642436,0.015642436,0.006549042,0.006549042,0.0010217817,0.0010217817,-0.00021102255,-0.00021102239,-0.071127966,-0.071127966,0.11276751
82800,0.1114182,0.006834421,0.0024517504,0.028135153,0.006458956,0.005783619,0.005783619,0.005783619,-0.055898827,0.07571222,0.07571222,0.013065362,0.013065362,0.0074989665,0.0074989665,0.0025954654,0.0025954654,0.0007364029,0.0007364029,-0.055898827,-0.055898827,0.1114182
86400,0.11044879,0.0072908364,0.002437792,0.028837252,0.013153194,0.008481713,0.008481713,0.008481713,-0.04104957,0.07214801,0.07214801,0.010626909,0.010626909,0.008746812,0.008746812,0.0038712278,0.0038712278,0.0021726931,0.0021726931,-0.04104957,-0.04104957,0.11044879
