,10,11,12,13,21,22,23,31,32,11_111,12_12,12_112,21_21,22_122,22_21,9,2
0,306.12515,300.29828,295.67728,295.31235,296.12738,295.37506,295.243,294.8609,294.34204,300.29803,295.67728,295.67728,296.12735,295.37497,295.3751,243.84,295.656
3600,306.60312,300.8419,296.6021,295.98206,296.43262,295.9273,295.78046,294.78214,294.22382,300.84164,296.60208,296.60208,296.43262,295.92722,295.92737,243.84,296.59116
7200,306.85568,301.12915,297.2479,296.31583,296.40497,296.08884,295.9254,294.28864,293.64618,301.12885,297.2478,297.2478,296.40497,296.0887,296.08887,243.84,297.24393
10800,306.8905,301.16873,297.62115,296.32532,296.05765,295.88004,295.69775,293.39777,292.63617,301.16843,297.6211,297.62106,296.05762,295.87982,295.88004,243.84,297.6208
14400,307.23962,301.5659,297.73184,296.7966,296.87265,296.56494,296.40234,294.75815,294.118,301.56558,297.73178,297.73175,296.87262,296.5648,296.56494,243.84,297.7281
18000,307.7913,302.19345,298.10358,297.4751,297.88095,297.40863,297.26447,296.23788,295.6891,302.1932,298.10355,298.10355,297.88092,297.40854,297.4087,243.84,298.0937
21600,308.53543,303.04013,298.72995,298.35147,299.06842,298.39737,298.2705,297.82056,297.3278,303.03986,298.72992,298.72992,299.06836,298.3973,298.3974,243.84,298.71155
25200,309.4609,304.09332,299.6048,299.41495,300.41617,299.5135,299.4039,299.4837,298.99857,304.0931,299.60477,299.60477,300.41614,299.51346,299.51355,243.84,299.57578
28800,310.55246,305.33585,300.72214,300.64175,301.88916,300.72397,300.6427,301.183,300.61832,305.33563,300.72214,300.72214,301.8891,300.72397,300.72406,243.84,300.68073
32400,301.49716,301.49716,301.5829,301.44846,301.33542,301.35706,301.35013,301.13907,301.08963,301.49716,301.5829,301.5829,301.33545,301.35706,301.35706,243.84,301.5905
36000,300.85568,300.85568,301.03732,300.75247,300.51297,300.5588,300.54413,300.0969,299.99213,300.85565,301.0373,301.0373,300.513,300.55878,300.5588,243.84,301.05347
39600,299.91092,299.91092,300.22037,299.7351,299.3271,299.40515,299.38013,298.6182,298.43973,299.91086,300.22037,300.22034,299.3271,299.4051,299.40512,243.84,300.2479
43200,298.66437,298.66437,299.1322,298.3986,297.78177,297.89978,297.86197,296.71008,296.4403,298.66434,299.13217,299.13214,297.78177,297.8997,297.89978,243.84,299.17377
46800,297.11713,297.11713,297.7729,296.7446,295.88004,296.04544,295.99243,294.3779,293.99976,297.11703,297.7728,297.77277,295.88004,296.0453,296.04544,243.84,297.83118
50400,295.27005,295.27005,296.14246,294.77444,293.6242,293.84427,293.77374,291.62576,291.12265,295.26996,296.1424,296.1423,293.6242,293.8441,293.84424,243.84,296.22
54000,293.12387,293.12387,294.24103,292.4892,291.01624,291.29803,291.20773,288.4571,287.81287,293.12372,294.24094,294.24084,291.01624,291.29782,291.298,243.84,294.34033
57600,303.2123,296.98676,292.65707,291.7543,291.96994,291.5704,291.39865,289.83505,289.16968,296.98645,292.657,292.657,291.9699,291.57025,291.57043,243.84,292.65088
61200,303.86652,297.73035,293.14536,292.544,293.09857,292.5151,292.36218,291.43054,290.84933,297.73004,293.14532,293.14532,293.09854,292.515,292.51517,243.84,293.13184
64800,304.71008,298.68927,293.88602,293.52872,294.4016,293.60068,293.46567,293.12396,292.5892,298.689,293.88602,293.88602,294.40158,293.60062,293.60074,243.84,293.863
68400,305.732,299.8512,294.87338,294.6974,295.85916,294.8087,294.6922,294.89127,294.34924,299.85095,294.87335,294.87335,295.8591,294.80865,294.80875,243.84,294.8388
72000,306.91812,301.2002,296.10178,296.026,297.4396,296.1125,296.02826,296.69043,296.04144,301.19995,296.10175,296.10178,297.4395,296.11246,296.11255,243.84,296.05386
75600,308.29712,302.76895,297.56573,297.56268,299.27502,297.71268,297.6357,298.67123,297.78796,302.76877,297.56573,297.56577,299.27493,297.71268,297.71277,243.84,297.503
79200,309.37396,303.9944,299.22342,299.14423,300.44534,299.22748,299.14548,299.7253,299.1338,303.99417,299.22342,299.22342,300.44525,299.22748,299.22757,243.84,299.17993
82800,310.23193,304.97098,300.58386,300.3909,301.35898,300.48645,300.37833,300.43365,299.9598,304.97073,300.58383,300.58386,301.35892,300.48642,300.4865,243.84,300.556
86400,310.84198,305.66547,301.65317,301.2611,301.88477,301.2896,301.16776,300.65424,300.18533,305.66522,301.65314,301.65314,301.88474,301.28955,301.28964,243.84,301.63745
