,10,11,12,13,21,22,23,31,32,11_111,12_12,12_112,21_21,22_122,22_21,9,2
0,89.71714,83.89028,82.317276,83.47635,82.76737,83.53905,84.93102,81.5009,77.93404,83.890015,82.31726,82.31726,82.767334,83.53897,83.539085,0.0,36.575996
3600,90.19512,84.4339,83.242096,84.14604,83.072624,84.09131,85.46846,81.422134,77.81583,84.43363,83.242065,83.242065,83.0726,84.0912,84.09135,0.0,37.511158
7200,90.44767,84.72115,83.887886,84.47983,83.044975,84.252846,85.613396,80.92862,77.23818,84.720856,83.88781,83.88781,83.04495,84.25269,84.25286,0.0,38.16392
10800,90.4825,84.76074,84.26116,84.48931,82.697624,84.04402,85.38574,80.03775,76.228165,84.76042,84.261086,84.26105,82.69761,84.043816,84.04404,0.0,38.54077
14400,90.83163,85.15788,84.37183,84.960594,83.51263,84.72893,86.090355,81.39813,77.71001,85.15759,84.37177,84.37176,83.51261,84.728775,84.72895,0.0,38.648098
18000,91.38329,85.78546,84.74357,85.63911,84.52096,85.57263,86.95245,82.87788,79.28109,85.785194,84.74353,84.74353,84.52092,85.57254,85.57267,0.0,39.01369
21600,92.12741,86.63212,85.36993,86.51548,85.708405,86.561356,87.958496,84.460556,80.919785,86.63187,85.36991,85.36991,85.70837,86.5613,86.56139,0.0,39.63155
25200,93.0529,87.685326,86.244774,87.578926,87.05617,87.67749,89.091896,86.12369,82.590546,87.6851,86.24476,86.24476,87.056114,87.67745,87.67755,0.0,40.495777
28800,94.14446,88.92785,87.362144,88.80576,88.52916,88.88797,90.33069,87.823006,84.21031,88.92763,87.362144,87.362144,88.529106,88.88795,88.88804,0.0,41.600716
32400,85.089165,85.089165,88.22289,89.612465,87.975426,89.521065,91.038124,87.77907,84.68164,85.08915,88.22287,88.22287,87.97544,89.52104,89.521065,0.0,42.5105
36000,84.44766,84.44766,87.67731,88.916466,87.15296,88.722786,90.2321,86.73688,83.58412,84.44764,87.677284,87.677284,87.152985,88.72277,88.722786,0.0,41.973457
39600,83.5029,83.5029,86.860374,87.89909,85.96708,87.569145,89.06812,85.25818,82.031715,83.50286,86.86035,86.86034,85.96708,87.56907,87.56912,0.0,41.16789
43200,82.25635,82.25635,85.772194,86.562584,84.42176,86.06377,87.549965,83.35009,80.0323,82.25632,85.772156,85.772125,84.42176,86.063675,86.06377,0.0,40.093773
46800,80.709114,80.709114,84.41287,84.9086,82.52002,84.20943,85.68043,81.0179,77.59174,80.709045,84.412796,84.412766,82.52002,84.2093,84.20943,0.0,38.75116
50400,78.862045,78.862045,82.782455,82.93843,80.2642,82.008255,83.46173,78.26575,74.71465,78.86195,82.78239,82.78231,80.26421,82.00809,82.00824,0.0,37.14
54000,76.71585,76.71585,80.88103,80.65319,77.65623,79.46203,80.89573,75.09709,71.40485,76.71572,80.88092,80.880844,77.65624,79.46181,79.46201,0.0,35.260323
57600,86.80431,80.57876,79.29705,79.91828,78.60993,79.734406,81.08666,76.47504,72.76166,80.578445,79.297,79.297,78.60992,79.73425,79.73442,0.0,33.57086
61200,87.45851,81.32233,79.78534,80.708,79.73857,80.67911,82.050186,78.070526,74.441315,81.32203,79.7853,79.7853,79.73853,80.679016,80.679146,0.0,34.051834
64800,88.302086,82.281265,80.526024,81.692726,81.04162,81.76468,83.15368,79.76396,76.181206,82.281,80.526,80.526,81.041565,81.764626,81.76473,0.0,34.78301
68400,89.324,83.4432,81.51337,82.8614,82.49917,82.97268,84.3802,81.531265,77.94123,83.44294,81.51334,81.51334,82.49909,82.97264,82.97274,0.0,35.7588
72000,90.51012,84.79218,82.74176,84.18999,84.07959,84.276474,85.716255,83.330414,79.63342,84.79194,82.74174,82.74176,84.07951,84.27645,84.27655,0.0,36.973854
75600,91.88913,86.360954,84.20574,85.72667,85.915016,85.87667,87.323685,85.31122,81.37996,86.360756,84.20574,84.20576,85.914925,85.87667,85.87676,0.0,38.422993
79200,92.965965,87.58639,85.86343,87.308235,87.08532,87.39148,88.83346,86.36531,82.72578,87.58617,85.86343,85.86343,87.08524,87.39148,87.39157,0.0,40.099915
82800,93.82393,88.562965,87.22385,88.55491,87.99898,88.65044,90.06633,87.07366,83.55179,88.56274,87.22383,87.22385,87.998924,88.6504,88.65049,0.0,41.475998
86400,94.433975,89.25747,88.29315,89.42509,88.52476,89.453606,90.85575,87.29423,83.77732,89.257225,88.29314,88.29314,88.52472,89.45355,89.45364,0.0,42.557438
