,10,11,12,13,21,22,23,31,32,12_12,13_12,2_110,11_11,21_21,21_121,22_122,13_113,12_110,9,2
0,89.717316,83.89049,82.31735,83.476425,82.76758,83.539154,84.93111,81.50103,77.93414,82.317314,83.47646,36.576035,83.890205,82.767525,82.7675,83.539085,83.476425,82.317314,0.0,36.575996
3600,90.195274,84.43406,83.242134,84.14608,83.0728,84.09142,85.46855,81.422226,77.81592,83.242096,84.14613,37.511177,84.4338,83.07277,83.07269,84.09131,84.14608,83.24212,0.0,37.511158
7200,90.44778,84.72126,83.887886,84.47985,83.04514,84.25295,85.61349,80.92866,77.23826,83.887825,84.479904,38.16392,84.72104,83.04512,83.04501,84.25281,84.47981,83.88786,0.0,38.16392
10800,90.48258,84.76086,84.26115,84.48933,82.6978,84.04415,85.38583,80.03777,76.22822,84.26107,84.4894,38.54077,84.76063,82.69778,82.697624,84.043945,84.489296,84.26115,0.0,38.54077
14400,90.83173,85.158,84.37181,84.96062,83.51278,84.72902,86.09045,81.39817,77.7101,84.37176,84.96067,38.64808,85.15775,83.51276,83.51265,84.728874,84.960594,84.37181,0.0,38.64808
18000,91.38342,85.78561,84.74359,85.639145,84.52111,85.57275,86.95253,82.87795,79.28124,84.74355,85.63918,39.01369,85.78535,84.52109,84.52102,85.57263,85.63912,84.74357,0.0,39.01367
21600,92.12756,86.63229,85.369965,86.51553,85.708565,86.56145,87.95857,84.46065,80.919876,85.36995,86.51556,39.63155,86.63201,85.70851,85.708496,86.56138,86.51552,85.36995,0.0,39.631516
25200,93.05307,87.68553,86.244835,87.579025,87.05634,87.67759,89.09197,86.123795,82.59064,86.244835,87.579025,40.495815,87.68525,87.05628,87.05628,87.67755,87.579,86.2448,0.0,40.495758
28800,94.144646,88.92808,87.36225,88.80587,88.529366,88.88808,90.33078,87.82314,84.21043,87.362236,88.80587,41.600735,88.927795,88.52929,88.52931,88.88806,88.80587,87.36218,0.0,41.600677
32400,85.089096,85.089096,88.22282,89.61241,87.97539,89.521,91.03807,87.77899,84.681564,88.22282,89.61241,42.510464,85.089096,87.97539,87.97537,89.52099,89.61239,88.22283,0.0,42.510464
36000,84.44756,84.44756,87.67721,88.916374,87.15289,88.72271,90.232025,86.736786,83.58403,87.67719,88.91639,41.9734,84.44756,87.15291,87.15287,88.72268,88.916374,87.677246,0.0,41.97342
39600,83.50277,83.50277,86.86024,87.898964,85.96697,87.56903,89.06801,85.25805,82.031586,86.86022,87.899,41.167793,83.502785,85.96697,85.966934,87.56898,87.89895,86.8603,0.0,41.16785
43200,82.256165,82.256165,85.772026,86.562416,84.42163,86.06364,87.54981,83.3499,80.032135,85.77197,86.562454,40.09368,82.25619,84.42163,84.421555,86.063545,86.56238,85.7721,0.0,40.09374
46800,80.708855,80.708855,84.41265,84.90836,82.51985,84.20926,85.68024,81.01764,77.59152,84.412575,84.90843,38.75103,80.70889,82.51985,82.51976,84.20913,84.908325,84.41274,0.0,38.75112
50400,78.86171,78.86171,82.782166,82.93813,80.26397,82.00803,83.46149,78.265434,74.71438,82.78209,82.938225,37.139835,78.86177,80.26399,80.26386,82.007866,82.93808,82.782295,0.0,37.139965
54000,76.71542,76.71542,80.880684,80.652824,77.65596,79.46175,80.89543,75.096695,71.404495,80.88057,80.65293,35.260136,76.7155,77.65598,77.6558,79.46153,80.65275,80.88083,0.0,35.260284
57600,86.80443,80.578896,79.29705,79.91828,78.610085,79.7345,81.08673,76.47509,72.76177,79.297,79.918335,33.570824,80.57861,78.61006,78.60995,79.734344,79.91826,79.297035,0.0,33.570824
61200,87.45864,81.32246,79.78534,80.70804,79.73872,80.6792,82.05026,78.070595,74.44146,79.7853,80.70808,34.05182,81.322174,79.738686,79.73863,80.67909,80.70802,79.78532,0.0,34.0518
64800,88.30224,82.28145,80.526054,81.69278,81.04176,81.76477,83.15373,79.76404,76.181305,80.52604,81.692795,34.78299,82.28115,81.041725,81.04169,81.764694,81.69276,80.526024,0.0,34.782955
68400,89.32418,83.443405,81.51342,82.861465,82.49934,82.97278,84.38028,81.53137,77.941345,81.51342,82.861465,35.7588,83.44309,82.49928,82.49928,82.97274,82.861465,81.51337,0.0,35.758747
72000,90.51034,84.79242,82.74185,84.19008,84.079796,84.27658,85.71637,83.33056,79.63354,82.74185,84.19008,36.973873,84.79211,84.079704,84.07974,84.276566,84.19008,82.741776,0.0,36.973797
75600,91.88938,86.36126,84.20589,85.72682,85.91525,85.87684,87.32385,85.311424,81.38013,84.20589,85.72682,38.42303,86.36094,85.91516,85.915215,85.87684,85.72684,84.205795,0.0,38.42292
79200,92.96614,87.58659,85.8635,87.30841,87.08546,87.39153,88.83347,86.36539,82.72585,85.8635,87.30841,40.099915,87.586296,87.08538,87.08542,87.39153,87.30841,85.86343,0.0,40.099842
82800,93.82406,88.56311,87.22387,88.55495,87.99909,88.650475,90.06635,87.073715,83.55183,87.22385,88.55495,41.47596,88.56283,87.99904,87.99904,88.65045,88.554924,87.22381,0.0,41.47592
86400,94.43407,89.25756,88.29314,89.42507,88.52484,89.45364,90.85577,87.29424,83.777336,88.2931,89.42511,42.55738,89.25732,88.52481,88.52477,89.45357,89.42507,88.2931,0.0,42.55736
