,1,2,4,5,6,7,8,9,11,12,13,14,15,16,17,19,21,22,24,25,26,27,28,30,31,32,37,38,39,41,3_2,3,29_25,29,36_33,36,40_28,40,18_16,18,20_18,20,23_20,23,35_22,35,34_29,10_8,10,34_28,34_28_34,34
0,0.042057443,0.034596827,0.0057117543,0.0050758054,0.039036684,0.038639214,0.0011129112,0.037208326,0.036095414,0.03333063,0.03205873,0.02638873,0.02241405,0.005511011,0.0010074683,0.0018624993,0.0014762344,0.0038156952,-0.00011496515,0.0011483826,0.020373164,0.021247592,0.019737216,0.0028617715,0.0015103793,0.0008744301,-0.0010787661,0.00018007406,0.00023848095,7.949365e-05,0.0068246657,0.0068246657,0.01639848,0.01639848,0.00011924047,0.000119240474,5.840686e-05,5.8406906e-05,0.0024449038,0.0024449038,0.0002726263,0.00027262603,0.0011569333,0.0011569333,0.00023848093,0.00023848093,0.00013790048,0.00039746828,0.00039746828,0.00013790048,0.00013790044,0.00013790044
3600,0.042057443,0.034772452,0.0058414834,0.0053165723,0.039564118,0.039236046,0.0009185933,0.038055,0.037136406,0.034854356,0.033804536,0.027947625,0.024666935,0.0057256822,-0.00034535,0.0011458205,0.0016099593,0.0031494629,-9.4891846e-05,0.0009478714,0.024159307,0.02488106,0.023634396,0.0023620971,0.0012466623,0.00072175195,-0.0012818902,0.00014952278,0.00019684143,6.5613815e-05,0.0067600766,0.0067600766,0.020878617,0.020878617,9.84207e-05,9.8420714e-05,4.731874e-05,4.731866e-05,0.0028034465,0.0028034465,-0.00016645539,-0.0001664555,0.00095492904,0.00095492904,0.00019684143,0.00019684144,0.00011293259,0.00032806906,0.00032806906,0.00011293255,0.00011293259,0.00011293259
7200,0.042057443,0.034828626,0.0058824737,0.0053928937,0.039731935,0.03942595,0.0008567649,0.038324397,0.037467632,0.03533918,0.03436002,0.028450755,0.02539088,0.00578687,-0.0007686757,0.00091752305,0.0016527718,0.0029374796,-8.8504945e-05,0.0008840723,0.025363987,0.02603716,0.024874408,0.0022031097,0.0011627523,0.0006731723,-0.0013467843,0.00013945866,0.00018359248,6.11975e-05,0.0067392387,0.0067392387,0.022304114,0.022304114,9.179623e-05,9.179624e-05,4.4133805e-05,4.4133827e-05,0.0029101486,0.0029101486,-0.00030642678,-0.0003064269,0.0008906549,0.0008906549,0.00018359242,0.00018359248,0.00010533123,0.0003059875,0.00030598746,0.00010533123,0.00010533123,0.00010533124
10800,0.042057443,0.034828626,0.0058824737,0.0053928937,0.039731935,0.03942595,0.0008567649,0.038324397,0.037467632,0.03533918,0.03436002,0.028450772,0.025390899,0.0057868515,-0.0007686577,0.0009175275,0.0016527672,0.0029374796,-8.850495e-05,0.0008840723,0.02536399,0.02603716,0.024874408,0.0022031097,0.0011627524,0.00067317236,-0.0013467796,0.00013945869,0.00018359248,6.11975e-05,0.0067392387,0.0067392387,0.022304114,0.022304114,9.179623e-05,9.179624e-05,4.4133805e-05,4.41338e-05,0.002910135,0.002910135,-0.00030642247,-0.0003064223,0.0008906549,0.0008906549,0.00018359242,0.00018359248,0.00010533123,0.0003059875,0.00030598746,0.000105331324,0.00010533127,0.00010533128
14400,0.042057443,0.034892984,0.0059291525,0.0054799505,0.03992373,0.03964298,0.0007861039,0.038632274,0.03784617,0.035893265,0.03499486,0.02905052,0.026243005,0.005832039,-0.001227716,0.0006638169,0.0016944947,0.0026952133,-8.120555e-05,0.0008111591,0.02674077,0.027358422,0.026291566,0.00202141,0.0010668553,0.0006176531,-0.0014137435,0.00012795697,0.00016845083,5.615028e-05,0.006715256,0.006715256,0.023933254,0.023933254,8.422538e-05,8.4225416e-05,4.0493873e-05,4.049387e-05,0.0030145384,0.0030145384,-0.00045918862,-0.00045918862,0.0008171989,0.0008171989,0.00016845077,0.00016845083,9.664418e-05,0.00028075138,0.00028075138,9.664418e-05,9.664418e-05,9.66442e-05
18000,0.042057443,0.034652557,0.0057531814,0.0051525626,0.0392045,0.038829118,0.0010510827,0.037477724,0.036426637,0.033815455,0.032614212,0.026909366,0.0231555,0.005554693,0.00060164864,0.0016443612,0.0015088869,0.0036037122,-0.00010857823,0.0010845835,0.021577846,0.022403697,0.020977227,0.002702784,0.0014264692,0.0008258505,-0.0011335002,0.00017108845,0.00022523201,7.507733e-05,0.006804264,0.006804264,0.01782398,0.01782398,0.00011261597,0.000112616006,5.4143526e-05,5.4143555e-05,0.0025442592,0.0025442592,0.00014281421,0.00014281449,0.0010926592,0.0010926592,0.00022523194,0.00022523195,0.0001292208,0.00037538668,0.00037538668,0.00012922076,0.0001292208,0.00012922082
21600,0.027162096,0.021977972,0.003407504,0.0027614601,0.02409339,0.023689613,0.0011305765,0.022236014,0.021105438,0.018296765,0.017004676,0.013016492,0.00897872,0.003826673,0.0027952741,0.0024358544,0.0009558746,0.0038762619,-0.00011678998,0.001166611,0.005133624,0.006021934,0.0044875806,0.0029071963,0.0015343535,0.00088830997,-0.0005520974,0.00018402796,0.00024226637,8.075545e-05,0.00453808,0.00453808,0.0010958515,0.0010958515,0.000121133184,0.000121133184,5.8238358e-05,5.823841e-05,0.0012556893,0.0012556893,0.00082074536,0.00082074536,0.0011752973,0.0011752973,0.00024226637,0.0002422664,0.00013899384,0.00040377732,0.0004037773,0.00013899388,0.00013899384,0.00013899387
25200,-1.6096257e-08,-0.00063480507,-0.00029517015,-0.0006333337,-0.0016063021,-0.0018176542,0.000591786,-0.002578522,-0.0031703082,-0.004640474,-0.005316801,-0.0066617746,-0.008775297,0.001260433,0.0022057425,0.0014280595,0.0003472987,0.0020289808,-6.113223e-05,0.00061064796,-0.011530555,-0.01106558,-0.011868718,0.0015217356,0.00080313813,0.00046497464,-0.00013594652,9.6327094e-05,0.0001268113,4.2270436e-05,0.00029661588,0.00029661588,-0.013644077,-0.013644077,6.3405736e-05,6.340565e-05,3.0483858e-05,3.04842e-05,6.772565e-05,6.772565e-05,0.00058265077,0.0005826509,0.00061519473,0.00061519473,0.00012681134,0.00012681134,7.275452e-05,0.00021135209,0.00021135216,7.2754454e-05,7.275452e-05,7.275455e-05
28800,-2.0136065e-11,-0.0006347812,-0.0002951683,-0.0006333318,-0.0016062764,-0.0018176287,0.00059178605,-0.0025784965,-0.0031702826,-0.0046404484,-0.005316775,-0.006661752,-0.008775272,0.0012604354,0.0022057402,0.0014280613,0.00034729694,0.0020289805,-6.1132276e-05,0.0006106479,-0.011530528,-0.011065554,-0.011868693,0.0015217357,0.0008031383,0.00046497487,-0.00013594475,9.63272e-05,0.0001268113,4.2270436e-05,0.0002966177,0.00029661777,-0.01364405,-0.01364405,6.3405656e-05,6.340565e-05,3.0484256e-05,3.0484094e-05,6.772982e-05,6.7729954e-05,0.0005826526,0.00058265263,0.0006151947,0.0006151947,0.00012681127,0.00012681128,7.275471e-05,0.00021135215,0.00021135216,7.275464e-05,7.275471e-05,7.2754694e-05
32400,-2.0136065e-11,-0.0012695625,-0.0005903366,-0.0012666635,-0.0032125528,-0.0036352575,0.001183572,-0.0051569934,-0.006340565,-0.009280897,-0.01063355,-0.013323504,-0.017550545,0.0025208709,0.0044114804,0.0028561226,0.0006945938,0.0040579615,-0.00012226454,0.0012212958,-0.023061056,-0.022131108,-0.023737386,0.0030434714,0.0016062764,0.00092994946,-0.00027188947,0.00019265425,0.0002536226,8.454087e-05,0.00059323554,0.00059323554,-0.0272881,-0.0272881,0.0001268113,0.0001268113,6.0968396e-05,6.0968356e-05,0.00013545973,0.00013545975,0.0011653053,0.0011653053,0.0012303893,0.0012303893,0.00025362257,0.00025362257,0.00014550916,0.0004227043,0.00042270432,0.00014550916,0.00014550916,0.00014550917
