,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,2_1,5_5,7_7,13_16,14_22,15_27,16_18,17_17,20_23,22_35,25_29,28_40,29_38,35_39,26
0,94.45324,93.03078,92.83942,92.71237,92.70057,92.081116,90.71336,90.71291,90.52444,90.7125,90.2119,89.479965,89.264885,89.1649,89.109474,89.11628,89.10308,89.10179,89.10419,89.15725,89.15009,89.150185,88.9747,89.06759,88.93091,88.92485,88.92347,88.92354,88.92316,88.92846,89.10177,89.1499,89.149864,88.923454,88.923454,93.03097,92.70057,90.71353,89.26486,89.1649,89.10942,89.11627,89.10308,89.15725,89.150185,88.93087,88.92347,88.92354,88.923454,88.910164
3600,95.04498,93.62252,93.434494,93.30206,93.2892,92.65416,91.247025,91.24671,91.050064,91.24642,90.72061,89.92551,89.68825,89.57704,89.510864,89.52874,89.511734,89.51121,89.51455,89.57168,89.566666,89.56673,89.327385,89.45474,89.26624,89.26199,89.261024,89.261086,89.26081,89.26453,89.511215,89.56653,89.566505,89.26102,89.26102,93.62271,93.2892,91.2472,89.68821,89.57704,89.51079,89.52873,89.511734,89.57168,89.56673,89.26619,89.261024,89.261086,89.26102,89.233795
7200,95.546196,94.12373,93.936775,93.80263,93.78941,93.14938,91.729614,91.72933,91.53005,91.72908,91.195145,90.37943,90.1349,90.01996,89.95014,89.97222,89.954,89.95365,89.95732,90.01524,90.01083,90.010895,89.749725,89.8891,89.68251,89.67878,89.677925,89.67797,89.677734,89.681,89.953674,90.01072,90.0107,89.67791,89.677925,94.12393,93.78942,91.72978,90.134865,90.01996,89.95006,89.97221,89.954,90.01524,90.010895,89.68245,89.677925,89.67797,89.67791,89.64583
10800,95.986374,94.56391,94.37695,94.242805,94.22959,93.58956,92.16979,92.16951,91.97023,92.16926,91.63532,90.81961,90.57508,90.46014,90.39032,90.4124,90.39418,90.39383,90.3975,90.45542,90.45101,90.45107,90.1899,90.32928,90.12269,90.11896,90.1181,90.11815,90.11791,90.12118,90.39385,90.45089,90.450874,90.11809,90.1181,94.56411,94.2296,92.16996,90.57504,90.46014,90.390236,90.41239,90.39418,90.45542,90.45107,90.12263,90.1181,90.11815,90.11809,90.086006
14400,96.53099,95.10853,94.922806,94.786674,94.77306,94.1273,92.693016,92.69278,92.49048,92.692566,92.14928,91.30972,91.05676,90.93729,90.86306,90.891716,90.87227,90.87207,90.87611,90.933266,90.92951,90.929565,90.642456,90.79616,90.56798,90.5648,90.56407,90.56411,90.5639,90.56669,90.87213,90.92941,90.92939,90.564064,90.564064,95.10873,94.77307,92.69319,91.056725,90.93729,90.862976,90.89171,90.87227,90.933266,90.929565,90.56792,90.56407,90.56411,90.564064,90.526184
18000,96.62523,95.20277,95.01246,94.88371,94.87157,94.247185,92.86697,92.86655,92.67549,92.86618,92.35761,91.605835,91.38382,91.28014,91.22127,91.23302,91.21881,91.21778,91.22042,91.273254,91.26682,91.266914,91.071754,91.17507,91.022736,91.01728,91.01604,91.0161,91.015755,91.02053,91.21778,91.26665,91.26662,91.01603,91.01603,95.202965,94.871574,92.867134,91.38378,91.28014,91.221214,91.23301,91.21881,91.273254,91.266914,91.02269,91.01604,91.0161,91.01603,90.99852
21600,93.47938,92.8464,92.756516,92.70771,92.70389,92.450455,91.89772,91.89725,91.824905,91.89683,91.70921,91.46818,91.40172,91.3747,91.364525,91.32608,91.32224,91.32012,91.32068,91.36682,91.35946,91.35956,91.35323,91.36047,91.35042,91.344185,91.34276,91.342834,91.34244,91.34789,91.31998,91.35926,91.35922,91.34274,91.34274,92.84648,92.70389,91.89779,91.401695,91.3747,91.36452,91.32608,91.32225,91.36682,91.35956,91.35042,91.34276,91.342834,91.34274,91.35027
25200,91.23946,91.23946,91.23889,91.23942,91.23967,91.24134,91.24611,91.245964,91.24745,91.245834,91.25091,91.2699,91.27762,91.28543,91.29519,91.267944,91.26793,91.267136,91.26712,91.28305,91.28084,91.28087,91.34007,91.3077,91.35715,91.35526,91.354836,91.35486,91.354744,91.356384,91.26706,91.28078,91.28076,91.354836,91.354836,91.23946,91.23967,91.24611,91.27762,91.28543,91.29521,91.267944,91.26794,91.28305,91.28087,91.35717,91.354836,91.35486,91.354836,91.3719
28800,90.9702,90.9702,90.96962,90.97014,90.97039,90.97208,90.97684,90.97669,90.97818,90.97657,90.981636,91.00063,91.008354,91.01617,91.025925,90.99868,90.99866,90.99787,90.99785,91.01379,91.01156,91.0116,91.07081,91.03844,91.087875,91.086,91.08556,91.085594,91.08547,91.08712,90.997795,91.011505,91.0115,91.08556,91.08556,90.9702,90.97039,90.97684,91.00835,91.01616,91.02594,90.99868,90.99867,91.01379,91.0116,91.0879,91.08556,91.085594,91.08556,91.10264
32400,90.35525,90.35525,90.35317,90.35507,90.35597,90.362045,90.37923,90.37871,90.38409,90.37825,90.39656,90.46513,90.49299,90.521194,90.55643,90.45807,90.458015,90.45516,90.455086,90.51262,90.5046,90.50471,90.718445,90.60161,90.78009,90.7733,90.77174,90.77183,90.7714,90.77734,90.45489,90.50437,90.50435,90.771736,90.771736,90.35525,90.35597,90.37922,90.49299,90.521194,90.556496,90.45807,90.45803,90.51262,90.50471,90.780174,90.77174,90.77183,90.771736,90.83337
36000,88.82202,88.82202,88.81562,88.82147,88.82426,88.84295,88.89587,88.89429,88.91084,88.89288,88.94928,89.1605,89.24633,89.3332,89.44174,89.138756,89.13857,89.12979,89.12954,89.30676,89.282074,89.282425,89.94083,89.58089,90.13069,90.109795,90.10501,90.10527,90.10394,90.12224,89.12896,89.281395,89.28129,90.104965,90.10497,88.82202,88.82426,88.89586,89.2463,89.33319,89.44192,89.138756,89.13863,89.30676,89.282425,90.13097,90.10501,90.10527,90.104965,90.29483
39600,89.043365,89.043365,89.04222,89.04327,89.04376,89.0471,89.05653,89.05626,89.05922,89.05601,89.06607,89.10376,89.11907,89.13458,89.153946,89.099884,89.099846,89.09828,89.098236,89.12986,89.12546,89.12552,89.243004,89.17877,89.276886,89.273155,89.2723,89.27235,89.2721,89.27537,89.09814,89.125336,89.12531,89.27229,89.27229,89.043365,89.04376,89.05653,89.11907,89.13458,89.153984,89.099884,89.09985,89.12986,89.12552,89.27693,89.2723,89.27235,89.27229,89.30617
43200,93.00544,91.9906,91.85576,91.7624,91.75344,91.303635,90.30795,90.307686,90.169106,90.307465,89.9376,89.38362,89.21904,89.141975,89.09699,89.10819,89.09696,89.09644,89.09859,89.137695,89.133705,89.13376,88.97671,89.06004,88.93688,88.933495,88.932724,88.93277,88.932556,88.93551,89.09644,89.13359,89.133575,88.93271,88.932724,91.99074,91.75345,90.30807,89.21901,89.141975,89.09695,89.10818,89.09696,89.137695,89.13376,88.936844,88.932724,88.93277,88.93271,88.91633
46800,96.06508,94.5309,94.33457,94.18138,94.1654,93.45044,91.85669,91.856544,91.62859,91.856415,91.240135,90.25639,89.95576,89.81101,89.71545,89.776146,89.75206,89.75207,89.75754,89.80856,89.80629,89.80631,89.40733,89.62301,89.30162,89.2997,89.29925,89.29928,89.29915,89.30084,89.752235,89.80622,89.80621,89.29925,89.29925,94.53111,94.165405,91.85689,89.95572,89.81101,89.715324,89.77614,89.75206,89.80856,89.80631,89.30152,89.29925,89.29928,89.29925,89.238266
50400,95.66633,94.13216,93.923935,93.78989,93.77772,93.11817,91.66457,91.66399,91.46518,91.663475,91.13727,90.381775,90.16167,90.06041,90.0066,90.002846,89.99002,89.98814,89.99038,90.05073,90.04169,90.04182,89.88526,89.96848,89.8465,89.838844,89.8371,89.83719,89.8367,89.8434,89.98808,90.04144,90.0414,89.837074,89.83708,94.13237,93.77772,91.66475,90.16164,90.0604,90.00655,90.002846,89.99002,90.05073,90.04182,89.84647,89.8371,89.83719,89.837074,89.82958
54000,97.04993,95.515755,95.32055,95.16555,95.149185,94.428955,92.82182,92.8217,92.59096,92.8216,92.19661,91.19015,90.881424,90.73182,90.63151,90.70257,90.677765,90.6778,90.68358,90.72982,90.72796,90.72798,90.301994,90.53289,90.188515,90.18694,90.18658,90.1866,90.18649,90.18788,90.67802,90.727905,90.7279,90.18657,90.18657,95.51596,95.1492,92.82202,90.88138,90.73182,90.63138,90.70256,90.67776,90.72982,90.72798,90.1884,90.18658,90.1866,90.18657,90.11947
