,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,2_3,25_29,33_36,28_40,16_18,18_20,20_23,22_35,29_34,8_10,28_34,28_34_34,26
0,94.45282,93.030556,92.839165,92.71214,92.70034,92.080894,90.71331,90.71285,90.52438,90.71245,90.21184,89.4799,89.26483,89.16485,89.10942,89.116234,89.103035,89.101746,89.10414,89.15719,89.15004,89.15014,88.9747,89.06759,88.93091,88.92485,88.92347,88.92354,88.92316,88.92846,89.10172,89.14984,89.1498,88.923454,88.923454,93.03051,88.93087,89.14984,88.92347,89.11623,89.101746,89.15719,89.15014,88.92354,90.71285,88.92347,88.92347,88.910164
3600,95.04454,93.62228,93.43423,93.3018,93.28895,92.65391,91.246956,91.24663,91.04998,91.24634,90.720535,89.92542,89.68816,89.57697,89.51079,89.52868,89.511665,89.51114,89.51447,89.5716,89.56659,89.56666,89.327385,89.45474,89.26624,89.26199,89.261024,89.261086,89.26081,89.26453,89.511154,89.56645,89.56643,89.26102,89.26102,93.62223,89.26619,89.56645,89.261024,89.52866,89.51114,89.5716,89.56666,89.261086,91.24663,89.261024,89.261024,89.233795
7200,95.54575,94.12348,93.9365,93.80236,93.78916,93.149124,91.72953,91.72924,91.52997,91.72899,91.19506,90.37935,90.13482,90.019875,89.95006,89.972145,89.953926,89.95357,89.957245,90.01516,90.01076,90.01081,89.749725,89.8891,89.68251,89.67878,89.677925,89.67797,89.677734,89.681,89.9536,90.010635,90.01062,89.67791,89.677925,94.123436,89.68245,90.010635,89.677925,89.97214,89.95357,90.01516,90.01081,89.67797,91.72924,89.677925,89.677925,89.64583
10800,95.98593,94.56366,94.37668,94.24254,94.22934,93.5893,92.16971,92.16942,91.970146,92.16917,91.63524,90.81953,90.575,90.46005,90.390236,90.41232,90.394104,90.39376,90.39742,90.45534,90.450935,90.45099,90.1899,90.32928,90.12269,90.11896,90.1181,90.11815,90.11791,90.12118,90.393776,90.45081,90.4508,90.11809,90.1181,94.563614,90.12263,90.45081,90.1181,90.412315,90.39376,90.45534,90.45099,90.11815,92.16942,90.1181,90.1181,90.086006
14400,96.53054,95.10827,94.922516,94.7864,94.7728,94.12703,92.69292,92.69269,92.49039,92.692474,92.149185,91.30963,91.05666,90.9372,90.862976,90.89165,90.872185,90.87199,90.87603,90.933174,90.92942,90.929474,90.642456,90.79616,90.56798,90.5648,90.56407,90.56411,90.5639,90.56669,90.87205,90.92931,90.9293,90.564064,90.564064,95.10822,90.56792,90.92931,90.56407,90.891624,90.87199,90.933174,90.929474,90.56411,92.69269,90.56407,90.56407,90.526184
18000,96.62481,95.202545,95.012215,94.88348,94.87134,94.246956,92.8669,92.86648,92.67542,92.86612,92.357544,91.60577,91.38375,91.280075,91.221214,91.23296,91.21876,91.21773,91.22037,91.27319,91.26676,91.266846,91.071754,91.17507,91.022736,91.01728,91.01604,91.0161,91.015755,91.02053,91.21773,91.26659,91.26655,91.01603,91.01603,95.2025,91.02269,91.26659,91.01604,91.23296,91.21773,91.27319,91.266846,91.0161,92.86648,91.01604,91.01604,90.99852
21600,93.47922,92.84632,92.75643,92.707634,92.70381,92.45038,91.89771,91.89725,91.8249,91.89682,91.70921,91.46818,91.40172,91.3747,91.36452,91.326096,91.32225,91.32013,91.32069,91.36682,91.35946,91.35956,91.35323,91.36047,91.35042,91.344185,91.34276,91.342834,91.34244,91.34789,91.31999,91.35925,91.35922,91.34274,91.34274,92.846306,91.35042,91.35925,91.34276,91.326096,91.32013,91.36681,91.35956,91.342834,91.89725,91.34276,91.34276,91.35027
25200,91.23949,91.23949,91.23891,91.239426,91.23968,91.24136,91.246124,91.24598,91.24747,91.24586,91.25092,91.26992,91.27764,91.28545,91.29521,91.26797,91.267944,91.26716,91.267136,91.28307,91.280846,91.28088,91.34007,91.3077,91.35715,91.35526,91.354836,91.35486,91.354744,91.356384,91.26708,91.28079,91.280785,91.354836,91.354836,91.23949,91.35717,91.28079,91.354836,91.26797,91.26716,91.28307,91.28088,91.35486,91.24598,91.354836,91.354836,91.3719
28800,90.970215,90.970215,90.96964,90.97016,90.97041,90.97209,90.976845,90.97671,90.978195,90.976585,90.98166,91.00065,91.00837,91.016174,91.02594,90.998695,90.99868,90.99789,90.99787,91.0138,91.01158,91.01161,91.07081,91.03844,91.087875,91.086,91.08556,91.085594,91.08547,91.08712,90.99781,91.01153,91.01151,91.08556,91.08556,90.970215,91.0879,91.01153,91.08556,90.998695,90.99789,91.0138,91.01161,91.085594,90.97671,91.08556,91.08556,91.10264
32400,90.355316,90.355316,90.35324,90.35514,90.35604,90.362114,90.37929,90.37878,90.38415,90.37832,90.39662,90.465195,90.49306,90.521255,90.556496,90.458145,90.45809,90.45523,90.45515,90.51268,90.50466,90.504776,90.718445,90.60161,90.78009,90.7733,90.77174,90.77183,90.7714,90.77734,90.45496,90.50444,90.5044,90.771736,90.771736,90.355316,90.780174,90.50444,90.77174,90.458145,90.45523,90.51267,90.504776,90.77183,90.37878,90.77174,90.77174,90.83337
36000,88.82222,88.82222,88.81582,88.82167,88.82445,88.843155,88.89606,88.894485,88.91103,88.89307,88.94946,89.1607,89.24651,89.33339,89.44192,89.138985,89.138794,89.13002,89.12976,89.30696,89.28227,89.28261,89.94083,89.58089,90.13069,90.109795,90.10501,90.10527,90.10394,90.12224,89.12918,89.28159,89.28148,90.104965,90.10497,88.82222,90.13097,89.28159,90.10501,89.138985,89.13002,89.30696,89.28261,90.10527,88.894485,90.10501,90.10501,90.29483
