,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,2_1,5_5,7_7,13_16,14_22,15_27,16_18,17_17,20_23,22_35,25_29,28_40,29_38,35_39,26
0,79.213234,62.550777,74.55141,74.42436,62.220562,53.98111,41.945362,57.184906,35.660435,51.088497,33.8239,25.47196,25.256886,28.2049,31.19747,43.396282,34.239082,58.621788,43.384186,37.341248,43.43009,28.190186,18.870699,31.155584,18.826906,49.30085,55.395466,55.39554,49.29916,31.016459,55.573765,34.285896,31.237858,55.395454,55.395454,62.55096,62.220562,41.94553,25.256859,28.2049,31.197416,43.39627,34.239082,37.341248,28.190186,18.826868,55.395466,55.39554,55.395454,17.282164
3600,79.80498,63.142517,75.14649,75.01406,62.809193,54.554157,42.479023,57.718708,36.186058,51.622417,34.33261,25.917505,25.680246,28.617043,31.59886,43.80874,34.647736,59.031204,43.794544,37.755676,43.84666,28.606728,19.223385,31.542744,19.162243,49.637993,55.73303,55.73308,49.63681,31.352524,55.98321,34.702522,31.654503,55.733017,55.733017,63.142708,62.809193,42.4792,25.680208,28.617043,31.598787,43.808727,34.647736,37.755676,28.606728,19.162188,55.73303,55.73308,55.733017,17.60579
7200,80.30619,63.643734,75.64877,75.514626,63.309406,55.04938,42.96161,58.201332,36.66605,52.10508,34.80714,26.371433,26.126896,29.059956,32.038136,44.252216,35.089996,59.47365,44.237316,38.199238,44.29083,29.050896,19.645721,31.977098,19.578506,50.054775,56.14992,56.149963,50.053734,31.769,56.425674,35.14672,32.09869,56.14991,56.14992,63.643925,63.309418,42.961777,26.126862,29.059956,32.03805,44.25221,35.089996,38.199238,29.050896,19.578451,56.14992,56.149963,56.14991,18.01783
10800,80.74637,64.08391,76.08895,75.9548,63.749584,55.489563,43.401787,58.641506,37.106228,52.545254,35.24732,26.81161,26.567074,29.500134,32.478313,44.692394,35.530174,59.91383,44.677494,38.639416,44.731007,29.491074,20.0859,32.41728,20.018684,50.494953,56.590096,56.590145,50.49391,32.209175,56.86585,35.586887,32.538868,56.59009,56.590096,64.08411,63.74959,43.401955,26.567036,29.500134,32.47823,44.692387,35.530174,38.639416,29.491074,20.01863,56.590096,56.590145,56.59009,18.458008
14400,81.29099,64.628525,76.634796,76.49867,64.29306,56.027294,43.92501,59.164776,37.626472,53.068565,35.761276,27.301718,27.048756,29.977285,32.951057,45.171715,36.008266,60.392067,45.15611,39.117268,45.20951,29.969564,20.538458,32.88416,20.463978,50.940796,57.03607,57.036106,50.9399,32.654686,57.344128,36.065407,33.017387,57.03606,57.03606,64.62872,64.29307,43.92519,27.048721,29.977285,32.950974,45.171707,36.008266,39.117268,29.969564,20.463913,57.03607,57.036106,57.03606,18.898186
18000,81.38522,64.72276,76.72446,76.59571,64.39156,56.147182,44.098965,59.338543,37.811485,53.242184,35.96961,27.597832,27.375818,30.320139,33.30927,45.513012,36.354813,60.737778,45.500423,39.457256,45.546818,30.306911,20.967752,33.263065,20.918732,51.393276,57.488033,57.4881,51.391754,33.10853,57.689777,36.40264,33.354614,57.48802,57.48802,64.72295,64.39157,44.09913,27.37578,30.320139,33.30921,45.51301,36.354813,39.457256,30.306911,20.918684,57.488033,57.4881,57.48802,19.37052
21600,78.23937,62.366394,74.46851,74.41971,62.223885,54.35045,43.12972,58.369244,36.960907,52.272827,35.32121,27.460173,27.393713,30.4147,33.452522,45.60608,36.45824,60.840115,45.600674,39.55082,45.639454,30.399557,21.249231,33.44847,21.246414,51.72018,57.81476,57.814835,51.718433,33.435894,57.791977,36.49526,33.44722,57.81474,57.81474,62.36648,62.223885,43.129784,27.393694,30.4147,33.452515,45.60608,36.45825,39.55082,30.399557,21.246414,57.81476,57.814835,57.81474,19.722275
25200,75.99946,60.75946,72.95088,72.951416,60.759666,53.14134,42.478104,57.717964,36.383453,51.621834,34.862904,27.2619,27.269619,30.32543,33.38319,45.547947,36.403923,60.787136,45.547115,39.46705,45.560837,30.320864,21.23607,33.3957,21.253149,51.73126,57.826828,57.826862,51.730736,33.444386,57.73906,36.41677,33.368763,57.826828,57.826828,60.75946,60.759666,42.478104,27.269619,30.32543,33.383205,45.547947,36.403934,39.46705,30.320864,21.253168,57.826828,57.826862,57.826828,19.7439
28800,75.730194,60.490196,72.68162,72.68214,60.490387,52.87207,42.208836,57.44869,36.114174,51.352566,34.593636,26.99263,27.00035,30.056164,33.113922,45.278675,36.13466,60.517868,45.27785,39.19778,45.291557,30.051598,20.966805,33.126434,20.983871,51.46199,57.557564,57.55759,51.461468,33.175117,57.46979,36.147503,33.099495,57.557564,57.557564,60.490196,60.490387,42.208836,27.000341,30.056156,33.11394,45.278675,36.13467,39.19778,30.051598,20.9839,57.557564,57.55759,57.557564,19.474634
32400,75.11524,59.875244,72.06517,72.06707,59.87597,52.262047,41.611225,56.850704,35.520084,50.754246,34.008556,26.45713,26.484985,29.561188,32.644424,44.738068,35.594013,59.97516,44.735085,38.696613,44.784595,29.544706,20.614443,32.6896,20.676086,51.149292,57.24374,57.243828,51.147396,32.86534,56.926884,35.640373,32.592346,57.24373,57.24373,59.875244,59.87597,41.611217,26.484985,29.561188,32.64449,44.738068,35.594032,38.696613,29.544706,20.67617,57.24374,57.243828,57.24373,19.205366
