,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,2_3,25_29,33_36,28_40,16_18,18_20,20_23,22_35,29_34,8_10,28_34,28_34_34,26
0,79.212814,62.550552,74.55116,74.42414,62.220337,53.980892,41.94531,57.184853,35.660378,51.088444,33.823833,25.471895,25.256828,28.204845,31.197416,43.396233,34.239037,58.62174,43.38414,37.34119,43.430035,28.190138,18.870699,31.155584,18.826906,49.30085,55.395466,55.39554,49.29916,31.016459,55.573723,34.28584,31.237804,55.395454,55.395454,62.550503,18.826868,34.28584,55.395466,43.396225,58.62174,37.34119,28.190138,55.39554,57.184853,55.395466,55.395466,17.282164
3600,79.804535,63.142273,75.146225,75.0138,62.80895,54.553905,42.47895,57.718624,36.185974,51.622334,34.332535,25.917421,25.680162,28.616968,31.598787,43.808674,34.647663,59.031143,43.794468,37.7556,43.846584,28.606653,19.223385,31.542744,19.162243,49.637993,55.73303,55.73308,49.63681,31.352524,55.983147,34.70245,31.65443,55.733017,55.733017,63.142227,19.162188,34.70245,55.73303,43.808662,59.031143,37.7556,28.606653,55.73308,57.718624,55.73303,55.73303,17.60579
7200,80.30575,63.643482,75.6485,75.51435,63.309155,55.04912,42.961525,58.201233,36.665962,52.10499,34.807056,26.371346,26.126814,29.059872,32.03805,44.252144,35.089924,59.473564,44.23724,38.199154,44.290756,29.050814,19.645721,31.977098,19.578506,50.054775,56.14992,56.149963,50.053734,31.769,56.4256,35.146637,32.098618,56.14991,56.14992,63.643433,19.578451,35.146637,56.14992,44.252136,59.473564,38.199154,29.050814,56.149963,58.201233,56.14992,56.14992,18.01783
10800,80.745926,64.08366,76.08867,75.95454,63.749336,55.4893,43.401703,58.641415,37.10614,52.545162,35.247234,26.811523,26.566992,29.50005,32.47823,44.69232,35.530098,59.913757,44.677418,38.63933,44.730934,29.490992,20.0859,32.41728,20.018684,50.494953,56.590096,56.590145,50.49391,32.209175,56.865772,35.586815,32.538795,56.59009,56.590096,64.08361,20.01863,35.586815,56.590096,44.69231,59.913757,38.63933,29.490992,56.590145,58.641415,56.590096,56.590096,18.458008
14400,81.290535,64.628265,76.63451,76.4984,64.29279,56.027027,43.924915,59.164684,37.62638,53.06847,35.761185,27.301626,27.048664,29.977201,32.950974,45.171642,36.008183,60.391987,45.156025,39.117176,45.20942,29.969471,20.538458,32.88416,20.463978,50.940796,57.03607,57.036106,50.9399,32.654686,57.34404,36.06531,33.017296,57.03606,57.03606,64.62822,20.463913,36.06531,57.03607,45.171623,60.391987,39.117176,29.969471,57.036106,59.164684,57.03607,57.03607,18.898186
18000,81.3848,64.722534,76.72421,76.59547,64.39133,56.146954,44.0989,59.338478,37.81142,53.24212,35.969543,27.597765,27.375751,30.320074,33.30921,45.51296,36.354755,60.737724,45.500362,39.457188,45.546764,30.306845,20.967752,33.263065,20.918732,51.393276,57.488033,57.4881,51.391754,33.10853,57.689724,36.402584,33.35455,57.48802,57.48802,64.722496,20.918684,36.402584,57.488033,45.51296,60.737724,39.457188,30.306845,57.4881,59.338478,57.488033,57.488033,19.37052
21600,78.23921,62.366318,74.46843,74.41963,62.22381,54.350376,43.129707,58.369244,36.960896,52.27282,35.32121,27.460173,27.393713,30.4147,33.452515,45.60609,36.45825,60.840126,45.600685,39.55082,45.639454,30.399557,21.249231,33.44847,21.246414,51.72018,57.81476,57.814835,51.718433,33.435894,57.79199,36.49525,33.44722,57.81474,57.81474,62.366302,21.246414,36.49525,57.81476,45.60609,60.840126,39.55081,30.399557,57.814835,58.369244,57.81476,57.81476,19.722275
25200,75.99948,60.75948,72.9509,72.95142,60.759674,53.14136,42.478123,57.717976,36.38346,51.62185,34.862923,27.261915,27.269638,30.325449,33.383205,45.547962,36.403942,60.78715,45.547134,39.467068,45.56085,30.320883,21.23607,33.3957,21.253149,51.73126,57.826828,57.826862,51.730736,33.444386,57.739075,36.41679,33.368782,57.826828,57.826828,60.75948,21.253168,36.41679,57.826828,45.547962,60.78715,39.467068,30.320883,57.826862,57.717976,57.826828,57.826828,19.7439
28800,75.73021,60.49021,72.68164,72.68216,60.49041,52.872093,42.208843,57.448704,36.114193,51.35259,34.593655,26.99265,27.000368,30.056171,33.11394,45.278694,36.134678,60.517887,45.277866,39.1978,45.29158,30.051605,20.966805,33.126434,20.983871,51.46199,57.557564,57.55759,51.461468,33.175117,57.469814,36.147522,33.099514,57.557564,57.557564,60.49021,20.9839,36.147522,57.557564,45.278694,60.517887,39.1978,30.051605,57.55759,57.448704,57.557564,57.557564,19.474634
32400,75.11531,59.87531,72.06524,72.06713,59.876038,52.26211,41.611282,56.850765,35.520145,50.754314,34.00862,26.457193,26.485054,29.561256,32.64449,44.738144,35.594086,59.975227,44.735146,38.69668,44.78466,29.544771,20.614443,32.6896,20.676086,51.149292,57.24374,57.243828,51.147396,32.86534,56.92696,35.640434,32.5924,57.24373,57.24373,59.87531,20.67617,35.640434,57.24374,44.738144,59.975227,38.69667,29.544771,57.243828,56.850765,57.24374,57.24374,19.205366
36000,73.582214,58.342213,70.52781,70.53366,58.344448,50.743153,40.12805,55.366478,34.047028,49.269066,32.561462,25.152697,25.238514,28.373384,31.529915,43.418983,34.274788,58.650017,43.409756,37.490955,43.562267,28.322607,19.836826,31.668886,20.026693,50.485794,56.57701,56.57727,50.47994,32.21024,55.60118,34.41759,31.36948,56.57696,56.576973,58.342213,20.026962,34.41759,56.57701,43.418983,58.650017,37.490955,28.322607,56.57727,55.366478,56.57701,56.57701,18.666832
39600,73.8034,58.563404,70.75426,70.755295,58.56379,50.94713,40.288574,55.528294,34.195244,49.43204,32.67811,25.095798,25.111109,28.174614,31.24198,43.379917,34.23589,58.618317,43.378273,37.313896,43.405487,28.165554,19.138998,31.266777,19.172886,49.649155,55.744297,55.744347,49.6481,31.363369,55.57017,34.261368,31.213348,55.744286,55.744286,58.563404,19.172932,34.261368,55.744297,43.379917,58.618317,37.313896,28.165554,55.744347,55.528294,55.744297,55.744297,17.678167
