,10,15,20,35,40,50,60,601,61,101,103,105,107,109,111,113,115,117,119,120,121,123,125,127,129,131,139,141,143,145,147,149,151,153,157,159,161,163,164,166,167,169,171,173,177,179,181,183,184,185,187,189,191,193,195,197,199,201,203,204,205,206,207,208,209,211,213,215,217,219,225,229,231,237,239,241,243,247,249,251,253,255,257,259,261,263,265,267,269,271,273,275,60_330,61_329,101_101,105_105,111_225,111_111,113_114,115_112,115_115,117_119,119_123,119_171,120_297,120_122,121_123,121_122,125_131,127_135,129_145,141_149,151_163,161_179,163_179,169_185,169_183,171_189,179_201,181_315,183_203,185_202,187_209,189_207,189_209,191_223,193_116,193_217,199_229,201_323,205_319,207_237,211_269,213_261,217_257,229_261,237_273,239_275,241_275,247_285,249_295,255_287,255_289,257_303,261_307,263_117,265_321,267_311,269_325,271_191,273_319,275_239,River,Lake,1,2,3
0,0.0,0.039115924,0.0,0.10327866,0.0,0.0,0.0,0.0,0.0,0.016058536,0.011260844,0.011444297,0.004619313,0.019562757,0.011999731,0.0016916628,0.004404579,0.009951306,0.014890183,0.0,0.0035194363,0.0,0.0038550636,0.0014929917,0.0,0.003614122,0.00049794576,0.0008327275,0.0005241534,0.002335864,0.0007228244,0.0022885213,0.012214464,0.0037341702,0.0043783714,0.0034932285,0.0013357457,0.000796375,0.0,0.00021980627,0.0012309151,0.0,0.0033258377,0.0,0.004917742,0.0,0.0,0.0,0.0,0.0021684733,0.0,0.00912365,0.006923897,0.0060286094,0.0,0.0014405764,0.0100874165,0.0037713682,0.2800574,0.0,0.0055255913,0.0,0.0058662905,0.0,7.355055e-05,0.0007329693,0.0011784997,0.0077938223,0.0020475797,0.0034932285,0.0019275318,0.0054258327,0.0013932335,0.0013196829,0.0037713682,0.0,0.00036690736,0.0059499866,0.0,0.0020425075,0.004609168,0.0034146057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.83012915,0.0,0.02902383,-0.020774968,0.14173843
900,0.0,0.039115924,0.0,0.10327866,0.0,0.0,0.0,0.0,0.0,0.016058536,0.011260844,0.011444297,0.004619313,0.019562757,0.011999731,0.0016916628,0.004404579,0.009951306,0.014890183,0.0,0.0035194363,0.0,0.0038550636,0.0014929917,0.0,0.003614122,0.00049794576,0.0008327275,0.0005241534,0.002335864,0.0007228244,0.0022885213,0.012214464,0.0037341702,0.0043783714,0.0034932285,0.0013357457,0.000796375,0.0,0.00021980627,0.0012309151,0.0,0.0033258377,0.0,0.004917742,0.0,0.0,0.0,0.0,0.0021684733,0.0,0.00912365,0.006923897,0.0060286094,0.0,0.0014405764,0.0100874165,0.0037713682,0.2800574,0.0,0.0055255913,0.0,0.0058662905,0.0,7.355055e-05,0.0007329693,0.0011784997,0.0077938223,0.0020475797,0.0034932285,0.0019275318,0.0054258327,0.0013932335,0.0013196829,0.0037713682,0.0,0.00036690736,0.0059499866,0.0,0.0020425075,0.004609168,0.0034146057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.82978433,0.0,0.028069442,-0.018744096,0.14031717
1800,0.0,0.039115924,0.0,0.10327866,0.0,0.0,0.0,0.0,0.0,0.016058536,0.011260844,0.011444297,0.004619313,0.019562757,0.011999731,0.0016916628,0.004404579,0.009951306,0.014890183,0.0,0.0035194363,0.0,0.0038550636,0.0014929917,0.0,0.003614122,0.00049794576,0.0008327275,0.0005241534,0.002335864,0.0007228244,0.0022885213,0.012214464,0.0037341702,0.0043783714,0.0034932285,0.0013357457,0.000796375,0.0,0.00021980627,0.0012309151,0.0,0.0033258377,0.0,0.004917742,0.0,0.0,0.0,0.0,0.0021684733,0.0,0.00912365,0.006923897,0.0060286094,0.0,0.0014405764,0.0100874165,0.0037713682,0.2800574,0.0,0.0055255913,0.0,0.0058662905,0.0,7.355055e-05,0.0007329693,0.0011784997,0.0077938223,0.0020475797,0.0034932285,0.0019275318,0.0054258327,0.0013932335,0.0013196829,0.0037713682,0.0,0.00036690736,0.0059499866,0.0,0.0020425075,0.004609168,0.0034146057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.82944024,0.0,0.027232578,-0.016872788,0.13893862
2700,0.0,0.039115924,0.0,0.10327866,0.0,0.0,0.0,0.0,0.0,0.016058536,0.011260844,0.011444297,0.004619313,0.019562757,0.011999731,0.0016916628,0.004404579,0.009951306,0.014890183,0.0,0.0035194363,0.0,0.0038550636,0.0014929917,0.0,0.003614122,0.00049794576,0.0008327275,0.0005241534,0.002335864,0.0007228244,0.0022885213,0.012214464,0.0037341702,0.0043783714,0.0034932285,0.0013357457,0.000796375,0.0,0.00021980627,0.0012309151,0.0,0.0033258377,0.0,0.004917742,0.0,0.0,0.0,0.0,0.0021684733,0.0,0.00912365,0.006923897,0.0060286094,0.0,0.0014405764,0.0100874165,0.0037713682,0.2800574,0.0,0.0055255913,0.0,0.0058662905,0.0,7.355055e-05,0.0007329693,0.0011784997,0.0077938223,0.0020475797,0.0034932285,0.0019275318,0.0054258327,0.0013932335,0.0013196829,0.0037713682,0.0,0.00036690736,0.0059499866,0.0,0.0020425075,0.004609168,0.0034146057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.82909715,0.0,0.02649867,-0.015141233,0.13759783
3600,0.0,0.039115924,0.0,0.10763188,0.0,0.0,0.0,0.0,0.0,0.023248928,0.016303012,0.016568609,0.0066876616,0.028322201,0.017372744,0.0024491237,0.0063767787,0.014407113,0.02155743,0.0,0.005095303,0.0,0.0055812118,0.0021614954,0.0,0.0052323854,0.0007209064,0.0012055907,0.0007588489,0.0033817734,0.0010464771,0.0033132324,0.017683627,0.005406187,0.006338836,0.005057361,0.0019338408,0.0011529607,0.0,0.000318227,0.0017820711,0.0,0.004815019,0.0,0.007119716,0.0,0.0,0.0,0.0,0.0031394314,0.0,0.013208866,0.01002415,0.008727986,0.0,0.0020856108,0.014604171,0.00546004,0.2858617,0.0,0.007999736,0.0,0.0084929885,0.0,0.00010648363,0.0010611645,0.0017061861,0.011283594,0.0029644067,0.005057361,0.0027906059,0.00785531,0.0020170694,0.0019105857,0.00546004,0.0,0.00053119427,0.008614159,0.0,0.0029570628,0.0066729747,0.0049435333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.82408947,-0.21672347,0.06323896,-0.020003805,0.19189492
4500,0.0,0.039115924,0.0,0.10763188,0.0,0.0,0.0,0.0,0.0,0.023248928,0.016303012,0.016568609,0.0066876616,0.028322201,0.017372744,0.0024491237,0.0063767787,0.014407113,0.02155743,0.0,0.005095303,0.0,0.0055812118,0.0021614954,0.0,0.0052323854,0.0007209064,0.0012055907,0.0007588489,0.0033817734,0.0010464771,0.0033132324,0.017683627,0.005406187,0.006338836,0.005057361,0.0019338408,0.0011529607,0.0,0.000318227,0.0017820711,0.0,0.004815019,0.0,0.007119716,0.0,0.0,0.0,0.0,0.0031394314,0.0,0.013208866,0.01002415,0.008727986,0.0,0.0020856108,0.014604171,0.00546004,0.2858617,0.0,0.007999736,0.0,0.0084929885,0.0,0.00010648363,0.0010611645,0.0017061861,0.011283594,0.0029644067,0.005057361,0.0027906059,0.00785531,0.0020170694,0.0019105857,0.00546004,0.0,0.00053119427,0.008614159,0.0,0.0029570628,0.0066729747,0.0049435333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8235821,-0.21649577,0.061824597,-0.018240504,0.19081092
5400,0.0,0.039115924,0.0,0.10763188,0.0,0.0,0.0,0.0,0.0,0.023248928,0.016303012,0.016568609,0.0066876616,0.028322201,0.017372744,0.0024491237,0.0063767787,0.014407113,0.02155743,0.0,0.005095303,0.0,0.0055812118,0.0021614954,0.0,0.0052323854,0.0007209064,0.0012055907,0.0007588489,0.0033817734,0.0010464771,0.0033132324,0.017683627,0.005406187,0.006338836,0.005057361,0.0019338408,0.0011529607,0.0,0.000318227,0.0017820711,0.0,0.004815019,0.0,0.007119716,0.0,0.0,0.0,0.0,0.0031394314,0.0,0.013208866,0.01002415,0.008727986,0.0,0.0020856108,0.014604171,0.00546004,0.2858617,0.0,0.007999736,0.0,0.0084929885,0.0,0.00010648363,0.0010611645,0.0017061861,0.011283594,0.0029644067,0.005057361,0.0027906059,0.00785531,0.0020170694,0.0019105857,0.00546004,0.0,0.00053119427,0.008614159,0.0,0.0029570628,0.0066729747,0.0049435333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8230753,-0.21626715,0.060480125,-0.016573157,0.18975258
6300,0.0,0.039115924,0.0,0.10763188,0.0,0.0,0.0,0.0,0.0,0.023248928,0.016303012,0.016568609,0.0066876616,0.028322201,0.017372744,0.0024491237,0.0063767787,0.014407113,0.02155743,0.0,0.005095303,0.0,0.0055812118,0.0021614954,0.0,0.0052323854,0.0007209064,0.0012055907,0.0007588489,0.0033817734,0.0010464771,0.0033132324,0.017683627,0.005406187,0.006338836,0.005057361,0.0019338408,0.0011529607,0.0,0.000318227,0.0017820711,0.0,0.004815019,0.0,0.007119716,0.0,0.0,0.0,0.0,0.0031394314,0.0,0.013208866,0.01002415,0.008727986,0.0,0.0020856108,0.014604171,0.00546004,0.2858617,0.0,0.007999736,0.0,0.0084929885,0.0,0.00010648363,0.0010611645,0.0017061861,0.011283594,0.0029644067,0.005057361,0.0027906059,0.00785531,0.0020170694,0.0019105857,0.00546004,0.0,0.00053119427,0.008614159,0.0,0.0029570628,0.0066729747,0.0049435333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.82256913,-0.21603829,0.059201594,-0.014994678,0.1887176
7200,0.0,0.039115924,0.0,0.10845205,0.0,0.0,0.0,0.0,0.0,0.017496616,0.012269277,0.012469159,0.005032983,0.021314645,0.013074333,0.001843155,0.0047990186,0.010842467,0.016223634,0.0,0.0038346096,0.0,0.0042002928,0.0016266925,0.0,0.0039377753,0.00054253783,0.00090730016,0.0005710925,0.002545046,0.00078755495,0.0024934637,0.013308298,0.004068574,0.0047704643,0.003806055,0.0014553647,0.0008676922,0.0,0.0002394904,0.0013411463,0.0,0.0036236737,0.0,0.005358137,0.0,0.0,0.0,0.0,0.002362665,0.0,0.009940694,0.0075439475,0.0065684845,0.0,0.0015695833,0.010990767,0.0041091028,0.2845999,0.0,0.00602042,0.0,0.0063916305,0.0,8.013717e-05,0.0007986084,0.001284037,0.008491778,0.0022309453,0.003806055,0.0021001464,0.0059117284,0.0015180007,0.0014378635,0.0041091028,0.0,0.00039976474,0.006482821,0.0,0.0022254186,0.0050219293,0.003720391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8184267,-0.21010636,0.07944606,0.007511313,0.2286412
8100,0.0,0.039115924,0.0,0.10845205,0.0,0.0,0.0,0.0,0.0,0.017496616,0.012269277,0.012469159,0.005032983,0.021314645,0.013074333,0.001843155,0.0047990186,0.010842467,0.016223634,0.0,0.0038346096,0.0,0.0042002928,0.0016266925,0.0,0.0039377753,0.00054253783,0.00090730016,0.0005710925,0.002545046,0.00078755495,0.0024934637,0.013308298,0.004068574,0.0047704643,0.003806055,0.0014553647,0.0008676922,0.0,0.0002394904,0.0013411463,0.0,0.0036236737,0.0,0.005358137,0.0,0.0,0.0,0.0,0.002362665,0.0,0.009940694,0.0075439475,0.0065684845,0.0,0.0015695833,0.010990767,0.0041091028,0.2845999,0.0,0.00602042,0.0,0.0063916305,0.0,8.013717e-05,0.0007986084,0.001284037,0.008491778,0.0022309453,0.003806055,0.0021001464,0.0059117284,0.0015180007,0.0014378635,0.0041091028,0.0,0.00039976474,0.006482821,0.0,0.0022254186,0.0050219293,0.003720391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8177604,-0.20978984,0.07844583,0.008089395,0.22808054
