,20,40,50,60,101,103,105,107,109,111,112,113,114,115,116,117,119,120,121,122,123,125,129,131,133,135,137,145,147,149,151,153,155,159,161,163,169,171,173,175,177,179,180,181,183,185,186,187,189,191,193,195,197,199,201,202,203,204,205,207,209,211,213,215,217,219,221,223,225,229,231,233,235,237,238,239,240,241,243,245,247,249,251,257,261,263,269,271,273,275,277,281,283,285,287,289,291,293,295,297,299,301,303,305,307,309,311,313,315,317,319,321,323,325,329,330,333,10,335
0,-0.14171936,-0.029041814,0.020770071,0.83013296,6.040704e-09,0.01060283,-0.02666136,0.0020378563,-0.00065801357,-0.020220771,0.031441286,-0.005086905,0.007846562,-0.002581457,0.0010679956,0.040143516,-0.046273883,0.07312989,0.06556877,0.02323882,0.6196536,0.83013296,0.18372105,0.16622078,-0.14171936,0.023008447,0.003614122,0.019394325,0.01889638,-0.039640076,-0.039115924,0.021576425,0.023912288,-0.024635114,-0.026923632,-0.009911016,0.013645186,0.029227084,0.5024065,0.4980281,0.49453488,0.47732252,0.00021980627,0.00021980627,0.46316573,-0.0012309151,0.021460688,0.42327055,0.29589513,-0.124049574,-0.10327866,0.029871413,0.024953673,-0.0040881406,-0.029041812,0.03418334,0.014891125,0.03418334,0.021460688,0.018979266,0.010136262,0.038664274,0.011324426,0.008675403,-0.015381209,-0.015876597,0.015876597,0.0028671154,0.004307692,0.29589513,0.2788211,0.2800574,0.0069866204,0.028625792,0.024770405,0.0020109024,0.024770405,0.024770405,0.024696853,0.018805843,0.015262164,0.0074683405,0.0034932285,0.0019275318,0.002365181,0.0013932335,0.00515804,0.0044538854,-0.0006155278,-0.0014373153,0.00036690736,-0.0018042226,-0.0029495806,0.0001654079,-0.007919616,0.020770071,0.004609168,0.00482668,-0.0027841728,0.030799933,0.014797497,0.014797497,0.016002435,0.009343583,0.025346018,0.013140627,-0.0044652238,0.029563775,-0.13315007,0.0070185764,-3.195601e-05,0.47630635,-0.0050076745,0.009100498,0.83013296,0.0,-3.2192514e-08,0.0,0.83013296
900,-0.14029881,-0.02808651,0.018739033,0.82978815,6.042035e-09,0.01063684,-0.026695373,0.0020595074,-0.0006240039,-0.020186761,0.031517334,-0.00503063,0.007871032,-0.0025598058,0.0011487388,0.04019918,-0.04635275,0.07322943,0.06566032,0.023273798,0.62064904,0.82978815,0.18234587,0.16482759,-0.14029883,0.023035776,0.003614122,0.019421654,0.018923707,-0.039640076,-0.039115924,0.021549098,0.02388496,-0.024607787,-0.026896305,-0.009929048,0.013663217,0.029181724,0.5033477,0.49896932,0.49547604,0.47824922,0.00021980627,0.00021980627,0.46409243,-0.0012309151,0.021583237,0.4242097,0.29768214,-0.123201735,-0.10327866,0.029038219,0.024120478,-0.0039660316,-0.02808651,0.034427345,0.015012582,0.034427345,0.021583237,0.018978612,0.010176221,0.038651776,0.011407014,0.008741857,-0.015410014,-0.015891109,0.015891109,0.0029208972,0.0043614735,0.29768214,0.28035474,0.2800574,0.0072400304,0.029075474,0.026801443,0.0035922574,0.026801443,0.026801443,0.02672789,0.019096795,0.015262164,0.0074683405,0.0034932285,0.0019275318,0.002656133,0.0013932335,0.0068981256,0.0041629337,0.0014155094,-0.0006570236,0.00036690736,-0.001023931,-0.0016988352,-0.000336489,-0.0066374284,0.018739033,0.004609168,0.0040778317,-0.0020353242,0.030842915,0.014818138,0.014818138,0.016024776,0.00935626,0.025381036,0.013140634,-0.0043987767,0.029536627,-0.13231687,0.00706631,0.0001737206,0.47723305,-0.0034740523,0.009115148,0.82978815,0.0,-3.2192514e-08,0.0,0.8297882
1800,-0.13892102,-0.027248781,0.016867597,0.829444,6.0420344e-09,0.010669657,-0.026728187,0.0020804175,-0.0005911869,-0.020153943,0.031590708,-0.0049760216,0.007894604,-0.0025388955,0.0012269187,0.0402529,-0.04642878,0.07332553,0.06574862,0.023307463,0.6216054,0.829444,0.18101172,0.1634761,-0.13892102,0.02306209,0.003614122,0.019447967,0.01895002,-0.039640076,-0.039115924,0.021522783,0.023858646,-0.024581471,-0.026869992,-0.009946407,0.013680575,0.029138051,0.5042516,0.49987322,0.49638,0.47913888,0.00021980627,0.00021980627,0.46498132,-0.0012309151,0.021698648,0.42510667,0.2993278,-0.122453064,-0.10327866,0.028304335,0.023386592,-0.0038621875,-0.027248781,0.034653153,0.01512298,0.034653153,0.021698648,0.018985167,0.010213097,0.03864372,0.011485551,0.008808129,-0.0154369725,-0.015905438,0.015905438,0.002972475,0.0044130515,0.2993278,0.28172666,0.2800574,0.0075136772,0.02953977,0.028672878,0.0049993973,0.028672878,0.028672878,0.028599327,0.01940522,0.015262164,0.0074683405,0.0034932285,0.0019275318,0.0029645574,0.0013932335,0.008461137,0.0038545092,0.0032869456,5.0504637e-05,0.00036690736,-0.00031640273,-0.0005349271,-0.0008070723,-0.0054593165,0.016867597,0.004609168,0.0033845068,-0.0013419995,0.030884376,0.014838051,0.014838051,0.016046325,0.009368526,0.02541485,0.013141354,-0.0043332265,0.029513786,-0.13158299,0.0071014697,0.00041220794,0.47812268,-0.0021020726,0.009129934,0.829444,0.0,-3.2192514e-08,0.0,0.829444
2700,-0.13758095,-0.026514048,0.015135953,0.82910085,5.904799e-09,0.0107014235,-0.026759956,0.0021006763,-0.0005594192,-0.020122178,0.03166172,-0.004922868,0.007917381,-0.0025186366,0.0013028501,0.04030493,-0.046502315,0.07341858,0.06583405,0.023339977,0.6225276,0.82910085,0.17971385,0.16216144,-0.13758095,0.023087505,0.003614122,0.019473383,0.018975439,-0.039640076,-0.039115924,0.021497367,0.023833232,-0.024556056,-0.026844576,-0.009963171,0.013697341,0.029095871,0.50512296,0.50074464,0.4972514,0.47999606,0.00021980627,0.00021980627,0.4658372,-0.0012309151,0.021807672,0.42596686,0.30084977,-0.121791236,-0.10327866,0.027657423,0.02273968,-0.003774368,-0.02651405,0.034862824,0.015223624,0.034862824,0.021807672,0.018997991,0.010247203,0.03863945,0.01156047,0.00887424,-0.015462263,-0.015919592,0.015919592,0.0030221045,0.004462681,0.30084977,0.2829697,0.2800574,0.0077926074,0.030002719,0.030404521,0.0062680924,0.030404521,0.030404521,0.03033097,0.019718383,0.015262164,0.0074683405,0.0034932285,0.0019275318,0.0032777202,0.0013932335,0.009879618,0.0035413462,0.005018588,0.00069756946,0.00036690736,0.00033066212,0.0005496511,-0.0012452024,-0.0043741222,0.015135953,0.004609168,0.0027380586,-0.0006955513,0.030924499,0.014857321,0.014857321,0.016067177,0.009380433,0.025447609,0.01314267,-0.004268428,0.029494604,-0.13093607,0.0071271216,0.000665486,0.4789799,-0.0008590289,0.0091448445,0.82910085,0.0,-1.6096257e-08,0.0,0.82910085
3600,-0.1918834,-0.06325319,0.019999497,0.8240934,0.21672656,0.11647086,0.07700678,0.026059326,0.100167856,0.07184565,0.03175817,0.041361418,0.015679771,0.019371664,0.054592066,-0.034378838,-0.034443058,-0.0013911418,0.017315753,0.015862474,0.56408066,0.8240934,0.23905495,0.21910435,-0.1918834,0.02505944,0.0052323854,0.019827055,0.019106148,-0.039874773,-0.039115924,0.021974215,0.02535599,-0.026402466,-0.029715698,-0.008963215,0.014369402,0.038436115,0.5054783,0.49913946,0.49408206,0.489587,0.000318227,0.000318227,0.49302325,-0.0017820711,0.034227017,0.4686607,0.3279118,-0.13593389,-0.10763188,0.041705184,0.03458547,-0.028667724,-0.06325319,0.04043905,0.009351464,0.04043905,0.034227017,0.038019188,-0.0041532847,0.02258049,0.038380306,0.03789746,-0.0056204014,-0.0025612055,0.0025612055,0.04278405,0.044869665,0.3279118,0.3014165,0.2858617,0.011891157,0.036814194,0.045932233,0.017611025,0.045932233,0.045932233,0.04582575,0.028915368,0.022095965,0.010812374,0.005057361,0.0027906059,0.005113214,0.0020170694,0.01584922,0.004759166,0.009179467,0.0017231097,0.00053119427,0.0011919156,0.0019963174,-0.0022794066,-0.005142837,0.019999497,0.0066729747,0.0032401523,-0.00028308915,-0.002844422,-0.004188952,-0.004188952,0.00134453,-0.03153442,-0.030189887,-0.0049074222,0.04280488,0.009177309,-0.14933705,0.0075162766,0.0043748813,0.48811585,0.010094749,0.013403182,0.8240934,0.0,-1.6096257e-08,0.21672656,0.8240934
4500,-0.19079985,-0.06183818,0.018236049,0.82358605,0.21649882,0.116370365,0.07687954,0.026044562,0.100067355,0.07174516,0.031825475,0.04134245,0.015684638,0.019356899,0.05457796,-0.034266368,-0.03452999,-0.0012076461,0.017426396,0.015878387,0.5646083,0.823586,0.238004,0.21804316,-0.19079985,0.02508183,0.0052323854,0.019849442,0.019128535,-0.039874773,-0.039115924,0.021951828,0.025333602,-0.026380079,-0.029693311,-0.00897343,0.014379618,0.038403507,0.5058551,0.49951622,0.49445885,0.48993307,0.000318227,0.000318227,0.49336818,-0.0017820711,0.03427479,0.4690383,0.3294459,-0.13477738,-0.10763188,0.040539604,0.03341989,-0.028418291,-0.06183818,0.040668394,0.009533039,0.040668394,0.03427479,0.03795133,-0.0041112145,0.022547778,0.038386006,0.037895318,-0.005640329,-0.0025919569,0.0025919569,0.042769823,0.04485544,0.3294459,0.30245245,0.2858617,0.0123893125,0.037521817,0.04769568,0.01866685,0.04769568,0.04769568,0.0475892,0.029268784,0.022095965,0.010812374,0.005057361,0.0027906059,0.0054666325,0.0020170694,0.01725925,0.0044057476,0.010942916,0.0023826049,0.00053119427,0.0018514107,0.0031002709,-0.0027076376,-0.004055111,0.018236049,0.0066729747,0.0025644295,0.00039263343,-0.0027556545,-0.0041251876,-0.0041251876,0.0013695328,-0.031510714,-0.030141179,-0.0049062874,0.042801607,0.009153665,-0.1481715,0.007536154,0.0048531583,0.48846188,0.011130698,0.013394112,0.823586,0.0,-1.6096257e-08,0.21649882,0.82358605
5400,-0.18974195,-0.0604931,0.016568573,0.82307917,0.21627018,0.11626945,0.07675181,0.026029719,0.09996644,0.07164424,0.031892642,0.04132325,0.015689414,0.019342056,0.054563534,-0.034153488,-0.03461678,-0.0010231199,0.017520469,0.015893523,0.56511265,0.82307917,0.23697771,0.21700701,-0.18974195,0.025103558,0.0052323854,0.019871172,0.019150265,-0.039874773,-0.039115924,0.0219301,0.025311872,-0.02635835,-0.029671581,-0.008983283,0.01438947,0.038371924,0.5062064,0.49986756,0.49481022,0.49025384,0.000318227,0.000318227,0.49368757,-0.0017820711,0.034321044,0.46938765,0.3308955,-0.13367712,-0.10763188,0.039430488,0.032310773,-0.028182326,-0.0604931,0.04088625,0.009704632,0.04088625,0.034321044,0.03788696,-0.0040700515,0.022517795,0.0383911,0.03789323,-0.0056599714,-0.0026225727,0.0026225727,0.04275528,0.044840887,0.3308955,0.30342296,0.2858617,0.012868404,0.038200114,0.04936316,0.019656032,0.04936316,0.04936316,0.049256675,0.029614313,0.022095965,0.010812374,0.005057361,0.0027906059,0.005812159,0.0020170694,0.018581199,0.004060221,0.012610392,0.003006775,0.00053119427,0.002475581,0.004143576,-0.0031355019,-0.0030030767,0.016568573,0.0066729747,0.0019489886,0.0010080743,-0.0026500658,-0.0040905727,-0.0040905727,0.0014405071,-0.03150342,-0.030062916,-0.0049049263,0.04279815,0.009132547,-0.14706238,0.0075548002,0.0053136037,0.48878264,0.012101232,0.013385247,0.82307917,0.0,-3.2192514e-08,0.21627018,0.8230792
6300,-0.18870741,-0.059213992,0.014989985,0.822573,0.21604131,0.11616815,0.07662424,0.026014674,0.09986514,0.07154294,0.03195815,0.041303102,0.015693715,0.019327013,0.05454769,-0.034040947,-0.034701634,-0.0008401238,0.017612921,0.015907926,0.5655959,0.822573,0.23597379,0.2159936,-0.18870741,0.025124682,0.0052323854,0.019892298,0.01917139,-0.039874773,-0.039115924,0.021908972,0.025290746,-0.026337221,-0.029650455,-0.008992811,0.014398998,0.038341273,0.5065374,0.50019854,0.49514118,0.49055418,0.000318227,0.000318227,0.49398577,-0.0017820711,0.03436564,0.46971262,0.33226708,-0.13263051,-0.10763188,0.03837519,0.031255476,-0.027958516,-0.059213992,0.041093305,0.009867093,0.041093305,0.03436564,0.03782561,-0.0040293997,0.022491079,0.038395043,0.03789055,-0.005679557,-0.0026531697,0.0026531697,0.042739637,0.044825245,0.33226708,0.30433446,0.2858617,0.013328426,0.03884969,0.050941743,0.020585047,0.050941743,0.050941743,0.050835263,0.029950587,0.022095965,0.010812374,0.005057361,0.0027906059,0.006148436,0.0020170694,0.01982351,0.0037239436,0.01418898,0.003598065,0.00053119427,0.003066871,0.0051308745,-0.0035825495,-0.0019647388,0.014989985,0.0066729747,0.0014087382,0.0015483247,-0.0025451188,-0.004055331,-0.004055331,0.0015102124,-0.031495824,-0.029985614,-0.0049027656,0.04279332,0.009114525,-0.14600708,0.007572307,0.005756119,0.489083,0.013012742,0.013376553,0.822573,0.0,-3.2192514e-08,0.21604131,0.82257307
7200,-0.22863165,-0.079458416,-0.007516135,0.8184308,0.21010984,0.112422325,0.08019091,0.025748659,0.100153044,0.0788384,0.027421385,0.044860464,0.016042145,0.020715676,0.059059452,-0.041973088,-0.027546873,-0.017968904,0.005612275,0.014385156,0.53165454,0.8184308,0.26855657,0.25182813,-0.22863165,0.021569785,0.0039377753,0.01763201,0.017089471,-0.039687015,-0.039115924,0.023504844,0.026049891,-0.026837446,-0.029330911,-0.008459563,0.012528137,0.034179643,0.49922007,0.49444968,0.49064356,0.49340832,0.0002394904,0.0002394904,0.4989243,-0.0013411463,0.03562518,0.4779789,0.32846698,-0.14588822,-0.10845205,0.05159496,0.04623682,-0.0332216,-0.079458416,0.040779687,0.007517177,0.040779687,0.03562518,0.040738776,-0.005368204,0.019604249,0.04099338,0.039865784,-0.0017819244,0.0042201024,-0.0042201024,0.046755403,0.048324987,0.32846698,0.3039754,0.2845999,0.013500845,0.04063862,0.05713486,0.02288787,0.05713486,0.05713486,0.057054725,0.027042577,0.016628925,0.008137148,0.003806055,0.0021001464,0.009129616,0.0015180007,0.029213537,-0.0016998881,0.029475562,0.009748201,0.00039976474,0.009348435,0.015618259,-0.0076924074,0.010558024,-0.007516135,0.0050219293,-0.0057004313,0.00792585,-0.009196023,-0.0060271216,-0.0060271216,-0.0031689014,-0.032777064,-0.035945967,-0.006623154,0.04648894,0.005445478,-0.16004701,0.007621495,0.0058793505,0.49230114,0.015266375,0.014158772,0.8184308,0.0,-1.6096257e-08,0.21010984,0.81843084
