,20,40,50,60,103,107,109,113,120,121,125,129,133,137,147,151,153,155,159,161,169,173,175,177,180,181,186,187,193,195,197,199,204,205,211,213,215,219,221,231,233,235,238,240,241,243,245,247,249,251,263,271,277,281,283,291,293,299,301,305,309,313,317,330,333,330_60,329_61,329,101_101,101,105_105,105,225_111,225,111_111,111,114_113,114,112_115,112,115_115,115,119_117,119,123_119,171_119,171,297_120,297,122_120,123_121,123,122_121,122,131_125,131,135_127,135,145_129,145,149_141,149,163_151,163,179_161,179_163,179,185_169,185,183_169,183,189_171,189,201_179,201,315_181,315,203_183,203,202_185,202,209_187,207_189,207,209_189,209,223_191,223,116_193,116,217_193,217,229_199,229,323_201,323,319_205,237_207,237,269_211,269,261_213,257_217,257,261_229,261,273_237,273,275_239,275_241,275,285_247,285,295_249,295,287_255,287,289_255,289,303_257,303,307_261,307,117_263,117,321_265,321,311_267,311,325_269,325,191_271,191,319_273,319,239_275,239,10,335
0,-0.14173843,-0.02902383,0.020774968,0.83012915,0.010602494,0.002036795,-0.0006583498,-0.005090084,0.07312899,0.06557046,0.83012915,0.18374111,-0.14173843,0.003614122,0.018896136,-0.039115924,0.021576667,0.023912534,-0.024635356,-0.02692388,0.01364641,0.5023867,0.4980083,0.49451512,0.00021980626,0.00021980627,0.021459304,0.4232501,-0.10327866,0.029848725,0.024930984,-0.004092846,0.0341773,0.021459304,0.0386614,0.011326373,0.008673888,-0.015879396,0.015879396,0.27882093,0.2800574,0.006987906,0.024765505,0.024765505,0.024765505,0.024691952,0.01880507,0.015262162,0.0074683405,0.0034932285,0.0013932335,0.0044546593,0.00036690736,-0.0018066285,-0.0029520746,0.004609168,0.004828835,0.01479652,0.01479652,0.009346983,0.013141371,0.02956201,0.0070184716,0.0,-1.6096257e-08,0.0,0.83012915,0.83012915,-8.048128e-09,5.9034706e-09,-0.026661042,-0.026661042,0.0043080924,0.0043080924,-0.020221107,-0.020221107,0.007846231,0.007846231,0.031438846,0.031438846,-0.002582518,-0.002582518,-0.046272174,-0.046272174,0.61963195,0.029226104,0.029226104,0.030795151,0.030795151,0.023236627,0.61963195,0.61963195,0.023236627,0.023236627,0.16623962,0.16623962,0.023008203,0.023008203,0.019394081,0.019394081,-0.039640076,-0.039640076,-0.00991224,-0.00991224,0.47729993,0.47729993,0.47729993,-0.0012309151,-0.0012309151,0.4631424,0.4631424,0.29589626,0.29589626,-0.02902383,-0.02902383,-0.13312738,-0.13312738,0.01488647,0.01488647,0.0341773,0.0341773,0.010132928,0.018979317,0.018979317,0.010132928,0.010132928,0.002867516,0.002867516,0.0010644845,0.0010644845,-0.015382755,-0.015382755,0.29589626,0.29589626,-0.005007818,-0.005007818,-3.0565432e-05,0.02862114,0.02862114,0.0051539144,0.0051539144,0.0023644068,0.0019275318,0.0019275318,0.0023644068,0.0023644068,-0.0006204279,-0.00062042795,-0.0014397212,-0.0014397213,-0.0014397212,0.00016574682,0.00016574726,-0.0027863274,-0.0027863274,-0.007922362,-0.007922362,0.02077497,0.02077497,0.015998632,0.015998632,0.025345616,0.025345616,0.040142134,0.040142134,0.4762838,0.4762838,-0.004467483,-0.004467483,0.009099392,0.009099392,-0.12402799,-0.12402799,-3.0565454e-05,-3.0565883e-05,0.0020106537,0.0020106537,0.0,0.83012915
900,-0.14031717,-0.028069442,0.018744096,0.82978433,0.010636536,0.00205846,-0.0006243076,-0.0050337557,0.073228605,0.06566207,0.82978433,0.18236524,-0.14031717,0.003614122,0.018923482,-0.039115924,0.021549322,0.023885185,-0.02460801,-0.02689653,0.013664456,0.50332856,0.4989502,0.49545693,0.00021980627,0.00021980627,0.021581875,0.42418987,-0.10327866,0.029016234,0.024098491,-0.003970953,0.034421246,0.021581875,0.038648944,0.011409013,0.00874043,-0.015893929,0.015893929,0.2803544,0.2800574,0.0072413688,0.026796378,0.026796378,0.026796378,0.026722828,0.019095877,0.015262164,0.0074683405,0.0034932285,0.0013932335,0.0041638524,0.00036690736,-0.0010257264,-0.0017021025,0.004609168,0.00408,0.014817176,0.014817176,0.0093596745,0.013141389,0.02953488,0.007066216,0.0,-1.6096257e-08,0.0,0.82978433,0.82978433,8.048128e-09,6.040704e-09,-0.026695076,-0.026695076,0.004361905,0.004361905,-0.020187063,-0.020187063,0.007870722,0.007870722,0.031514943,0.031514943,-0.0025608528,-0.0025608528,-0.046351098,-0.046351098,0.6206281,0.029180707,0.029180707,0.03083816,0.03083816,0.023271626,0.6206281,0.6206281,0.023271626,0.023271626,0.16484572,0.16484572,0.02303555,0.02303555,0.019421428,0.019421428,-0.039640076,-0.039640076,-0.009930287,-0.009930287,0.4782273,0.4782273,0.4782273,-0.0012309151,-0.0012309151,0.46406972,0.46406972,0.29768318,0.29768318,-0.028069444,-0.028069444,-0.13229488,-0.13229488,0.015007844,0.015007844,0.034421246,0.034421246,0.010172862,0.018978799,0.018978799,0.010172862,0.010172862,0.0029213289,0.0029213289,0.0011453031,0.001145303,-0.015411581,-0.015411581,0.29768318,0.29768318,-0.0034743536,-0.0034743536,0.00017515264,0.029070808,0.029070808,0.006893982,0.006893982,0.0026552132,0.0019275318,0.0019275318,0.0026552132,0.0026552132,0.0014104465,0.0014104465,-0.00065881916,-0.0006588192,-0.0006588192,-0.0003353904,-0.00033539045,-0.0020374928,-0.0020374928,-0.006640322,-0.006640322,0.018744094,0.018744094,0.016020983,0.016020983,0.025380656,0.025380656,0.040197834,0.040197834,0.4772111,0.4772111,-0.0044009597,-0.0044009597,0.009114063,0.009114063,-0.12318084,-0.12318084,0.00017515266,0.00017515264,0.0035918623,0.0035918623,0.0,0.8297844
1800,-0.13893862,-0.027232578,0.016872788,0.82944024,0.010669376,0.0020793816,-0.00059146795,-0.0049791,0.073324785,0.06575045,0.82944024,0.1810304,-0.13893862,0.003614122,0.018949818,-0.039115924,0.021522988,0.023858853,-0.024581674,-0.026870199,0.013681827,0.5042331,0.49985477,0.49636155,0.00021980627,0.00021980627,0.021697309,0.42508742,-0.10327866,0.028283013,0.02336527,-0.0038673074,0.034647007,0.021697309,0.038640924,0.011487596,0.008806784,-0.015908279,0.015908279,0.28172627,0.2800574,0.0075150463,0.028667688,0.028667688,0.028667688,0.028594134,0.019404186,0.015262164,0.0074683405,0.0034932285,0.0013932335,0.0038555441,0.00036690736,-0.00031822326,-0.0005382982,0.004609168,0.0033866838,0.014837102,0.014837102,0.009371952,0.013142124,0.029512055,0.007101383,0.0,-1.6096257e-08,0.0,0.82944024,0.82944024,-8.048128e-09,6.040704e-09,-0.026727922,-0.026727922,0.0044135097,0.0044135097,-0.020154225,-0.020154225,0.007894313,0.007894313,0.031588368,0.031588368,-0.0025399313,-0.0025399313,-0.046427187,-0.046427187,0.62158513,0.029137004,0.029137004,0.030879645,0.030879645,0.023305316,0.62158513,0.62158513,0.023305316,0.023305316,0.1634935,0.1634935,0.023061885,0.023061885,0.019447763,0.019447763,-0.039640076,-0.039640076,-0.009947658,-0.009947658,0.47911754,0.47911754,0.47911754,-0.0012309151,-0.0012309151,0.46495923,0.46495923,0.29932877,0.29932877,-0.027232578,-0.027232578,-0.13156167,-0.13156167,0.015118168,0.015118168,0.034647007,0.034647007,0.010209712,0.018985474,0.018985474,0.010209712,0.010209712,0.0029729332,0.0029729332,0.0012235501,0.0012235501,-0.01543856,-0.01543856,0.29932877,0.29932877,-0.002102482,-0.002102482,0.00041366322,0.029535076,0.029535076,0.008456982,0.008456982,0.0029635222,0.0019275318,0.0019275318,0.0029635222,0.0029635222,0.0032817542,0.0032817542,4.868438e-05,4.8684386e-05,4.8684404e-05,-0.0008058782,-0.0008058782,-0.0013441765,-0.0013441765,-0.005462331,-0.005462331,0.016872788,0.016872788,0.016042545,0.016042545,0.025414497,0.025414497,0.0402516,0.0402516,0.47810134,0.47810134,-0.0043353396,-0.0043353396,0.009128868,0.009128868,-0.122432806,-0.122432806,0.00041366313,0.00041366316,0.0049989014,0.0049989014,0.0,0.8294403
2700,-0.13759783,-0.02649867,0.015141233,0.82909715,0.010701173,0.0020996537,-0.00055967073,-0.0049258955,0.0734179,0.06583596,0.8290971,0.17973182,-0.13759783,0.003614122,0.01897525,-0.039115924,0.021497553,0.023833418,-0.024556244,-0.026844764,0.013698605,0.50510514,0.50072676,0.49723354,0.00021980627,0.00021980627,0.02180636,0.42594808,-0.10327866,0.027636733,0.022718988,-0.0037796788,0.034856625,0.02180636,0.03863668,0.011562563,0.008872982,-0.015922455,0.015922455,0.28296927,0.2800574,0.0077939946,0.030399239,0.030399239,0.030399239,0.030325692,0.019717256,0.015262164,0.0074683405,0.0034932285,0.0013932335,0.003542473,0.00036690736,0.00032883545,0.00054619816,0.004609168,0.002740239,0.014856386,0.014856386,0.009383871,0.01314345,0.029492887,0.0071270387,0.0,-1.6096257e-08,0.0,0.8290971,0.8290971,-8.048128e-09,6.040704e-09,-0.026759714,-0.026759714,0.004463169,0.004463169,-0.020122427,-0.020122427,0.007917112,0.007917112,0.031659428,0.031659428,-0.0025196592,-0.0025196592,-0.04650078,-0.04650078,0.622508,0.029094793,0.029094793,0.030919796,0.030919796,0.023337852,0.622508,0.622508,0.023337852,0.023337852,0.16217813,0.16217813,0.023087319,0.023087319,0.019473195,0.019473195,-0.039640076,-0.039640076,-0.009964434,-0.009964434,0.47997534,0.47997534,0.47997534,-0.0012309151,-0.0012309151,0.46581572,0.46581572,0.30085066,0.30085066,-0.02649867,-0.02649867,-0.13091539,-0.13091539,0.015218743,0.015218743,0.034856625,0.034856625,0.010243796,0.018998424,0.018998424,0.010243796,0.010243796,0.003022592,0.003022592,0.0012995531,0.001299553,-0.015463867,-0.015463867,0.30085066,0.30085066,-0.00085950113,-0.00085950113,0.00066695584,0.029997995,0.029997995,0.009875465,0.009875465,0.003276593,0.0019275318,0.0019275318,0.003276593,0.003276593,0.005013309,0.005013309,0.00069574284,0.00069574284,0.0006957428,-0.00124393,-0.00124393,-0.00069773174,-0.0006977318,-0.0043772208,-0.0043772208,0.015141233,0.015141233,0.016063409,0.016063409,0.02544728,0.02544728,0.040303666,0.040303666,0.47895914,0.47895914,-0.004270468,-0.004270468,0.009143797,0.009143797,-0.12177159,-0.12177159,0.00066695584,0.0006669559,0.0062675374,0.0062675374,0.0,0.82909715
3600,-0.19189492,-0.06323896,0.020003805,0.82408947,0.11647031,0.026058158,0.1001673,0.041360296,-0.0013927687,0.01731456,0.82408947,0.23906742,-0.19189492,0.0052323854,0.019105885,-0.039115924,0.021974478,0.025356252,-0.026402729,-0.02971596,0.014370613,0.50546485,0.49912602,0.49406865,0.000318227,0.000318227,0.034227878,0.4686451,-0.10763188,0.04168625,0.034566537,-0.028672434,0.04043276,0.034227878,0.02257416,0.038382787,0.03789841,-0.0025688505,0.0025688505,0.30141652,0.2858617,0.011893115,0.045927927,0.045927927,0.045927927,0.045821443,0.028914316,0.022095965,0.010812374,0.005057361,0.0020170694,0.004760218,0.00053119427,0.0011902349,0.0019936918,0.0066729747,0.0032420233,-0.0041901786,-0.0041901786,-0.031532224,-0.004906523,0.009172289,0.007516291,0.0,-1.6096257e-08,0.0,0.82408947,0.82408947,0.21672347,0.21672347,0.07700424,0.07700424,0.04486711,0.04486711,0.07184511,0.07184511,0.015678339,0.015678339,0.03175505,0.03175505,0.019370494,0.019370494,-0.03443967,-0.03443967,0.5640647,0.03843516,0.03843516,-0.002845247,-0.002845247,0.015862083,0.5640647,0.5640647,0.015862083,0.015862083,0.21911559,0.21911559,0.025059178,0.025059178,0.019826792,0.019826792,-0.039874773,-0.039874773,-0.008964426,-0.008964426,0.48956597,0.48956597,0.48956597,-0.0017820711,-0.0017820711,0.49300134,0.49300134,0.32791382,0.32791382,-0.06323896,-0.06323896,-0.14931813,-0.14931813,0.009344315,0.009344315,0.04043276,0.04043276,-0.0041549155,0.038016748,0.038016748,-0.0041549155,-0.0041549155,0.042781502,0.042781502,0.05458951,0.05458951,-0.0056254407,-0.0056254407,0.32791382,0.32791382,0.010094779,0.010094779,0.004376824,0.036809847,0.036809847,0.015845966,0.015845966,0.005112162,0.0027906059,0.0027906059,0.005112162,0.005112162,0.009175161,0.009175161,0.001721429,0.001721429,0.001721429,-0.0022786523,-0.0022786523,-0.0002849608,-0.00028496067,-0.0051452722,-0.0051452722,0.020003805,0.020003805,0.0013449315,0.0013449315,-0.030187292,-0.030187292,-0.03437747,-0.03437747,0.48809478,0.48809478,0.042804934,0.042804934,0.0134018725,0.0134018725,-0.13591626,-0.13591626,0.004376824,0.004376824,0.017611068,0.017611068,0.21672347,0.8240895
4500,-0.19081092,-0.061824597,0.018240504,0.8235821,0.116369836,0.0260434,0.10006682,0.041341364,-0.0012092155,0.017425124,0.8235821,0.23801604,-0.19081092,0.0052323854,0.019128287,-0.039115924,0.021952076,0.02533385,-0.026380327,-0.029693559,0.014380834,0.5058421,0.49950323,0.4944458,0.000318227,0.000318227,0.034275647,0.4690231,-0.10763188,0.040521204,0.03340149,-0.02842311,0.04066206,0.034275647,0.022541458,0.038388524,0.0378963,-0.0025995756,0.0025995756,0.30245236,0.2858617,0.012391287,0.047691226,0.047691226,0.047691226,0.04758474,0.029267661,0.022095965,0.010812374,0.005057361,0.0020170694,0.0044068703,0.00053119427,0.0018495326,0.0030976925,0.0066729747,0.0025662724,-0.004126726,-0.004126726,-0.03150866,-0.0049053864,0.009148643,0.0075361836,0.0,-1.6096257e-08,0.0,0.8235821,0.8235821,0.21649577,0.21649577,0.076877,0.076877,0.044852924,0.044852924,0.07174462,0.07174462,0.015683223,0.015683223,0.03182241,0.03182241,0.019355739,0.019355739,-0.03452667,-0.03452667,0.5645928,0.038402542,0.038402542,-0.0027563297,-0.0027563297,0.01587801,0.5645928,0.5645928,0.01587801,0.01587801,0.218054,0.218054,0.025081579,0.025081579,0.019849194,0.019849194,-0.039874773,-0.039874773,-0.008974646,-0.008974646,0.48991242,0.48991242,0.48991242,-0.0017820711,-0.0017820711,0.4933466,0.4933466,0.3294478,0.3294478,-0.061824597,-0.061824597,-0.14815308,-0.14815308,0.009525847,0.009525847,0.04066206,0.04066206,-0.00411288,0.03794896,0.03794896,-0.00411288,-0.00411288,0.04276731,0.04276731,0.054575462,0.054575462,-0.005645363,-0.005645363,0.3294478,0.3294478,0.011130604,0.011130604,0.0048551033,0.03751743,0.03751743,0.017255917,0.017255917,0.0054655084,0.0027906059,0.0027906059,0.0054655084,0.0054655084,0.01093846,0.01093846,0.0023807269,0.0023807269,0.0023807269,-0.002706902,-0.002706902,0.00039079064,0.00039079058,-0.004057725,-0.004057725,0.018240506,0.018240506,0.0013703968,0.0013703968,-0.030138262,-0.030138262,-0.03426499,-0.03426499,0.48844126,0.48844126,0.042801686,0.042801686,0.013392815,0.013392815,-0.13476026,-0.13476026,0.0048551033,0.0048551033,0.018666787,0.018666787,0.21649577,0.8235822
5400,-0.18975258,-0.060480125,0.016573157,0.8230753,0.11626893,0.026028568,0.09996592,0.041322187,-0.0010246573,0.017519254,0.8230753,0.23698929,-0.18975258,0.0052323854,0.019150026,-0.039115924,0.021930337,0.02531211,-0.026358588,-0.029671818,0.014390694,0.5061938,0.49985498,0.4947976,0.000318227,0.000318227,0.0343219,0.46937287,-0.10763188,0.039412603,0.032292884,-0.028187241,0.040879868,0.0343219,0.022511497,0.038393643,0.037894234,-0.0026301646,0.0026301646,0.30342278,0.2858617,0.012870399,0.049358573,0.049358573,0.049358573,0.04925209,0.029613124,0.022095965,0.010812374,0.005057361,0.0020170694,0.004061409,0.00053119427,0.0024735448,0.0041410285,0.0066729747,0.0019507143,-0.004092103,-0.004092103,-0.03150136,-0.004904017,0.009127531,0.0075548464,0.0,-1.6096257e-08,0.0,0.8230753,0.8230753,0.21626715,0.21626715,0.07674928,0.07674928,0.044838402,0.044838402,0.07164372,0.07164372,0.015688013,0.015688013,0.03188961,0.03188961,0.019340904,0.019340904,-0.034613498,-0.034613498,0.5650976,0.03837094,0.03837094,-0.0026507506,-0.0026507506,0.01589316,0.5650976,0.5650976,0.01589316,0.01589316,0.21701741,0.21701741,0.025103321,0.025103321,0.019870933,0.019870933,-0.039874773,-0.039874773,-0.008984507,-0.008984507,0.49023363,0.49023363,0.49023363,-0.0017820711,-0.0017820711,0.49366647,0.49366647,0.3308973,0.3308973,-0.060480125,-0.060480125,-0.14704448,-0.14704448,0.009697403,0.009697403,0.040879868,0.040879868,-0.0040717446,0.03788464,0.03788464,-0.0040717446,-0.0040717446,0.042752795,0.042752795,0.05456107,0.05456107,-0.005665001,-0.005665001,0.3308973,0.3308973,0.01210103,0.01210103,0.0053155534,0.038195685,0.038195685,0.018577803,0.018577803,0.0058109704,0.0027906059,0.0027906059,0.0058109704,0.0058109704,0.012605808,0.012605808,0.0030047393,0.003004739,0.003004739,-0.0031346802,-0.0031346802,0.0010063485,0.0010063485,-0.0030059342,-0.0030059342,0.016573157,0.016573157,0.0014413521,0.0014413521,-0.030060006,-0.030060006,-0.03415211,-0.03415211,0.4887624,0.4887624,0.042798247,0.042798247,0.013383964,0.013383964,-0.13366051,-0.13366051,0.0053155534,0.0053155534,0.019655876,0.019655876,0.21626715,0.82307535
6300,-0.1887176,-0.059201594,0.014994678,0.82256913,0.11616765,0.026013529,0.09986464,0.041302063,-0.00084162905,0.01761176,0.8225691,0.23598501,-0.1887176,0.0052323854,0.019171165,-0.039115924,0.021909198,0.025290972,-0.026337449,-0.02965068,0.014400227,0.50652516,0.5001863,0.495129,0.000318227,0.000318227,0.034366496,0.4696982,-0.10763188,0.038357794,0.031238077,-0.027963523,0.041086886,0.034366496,0.0224848,0.038397614,0.037891578,-0.0026607343,0.0026607343,0.30433416,0.2858617,0.013330445,0.050937053,0.050937053,0.050937053,0.05083057,0.029949341,0.022095965,0.010812374,0.005057361,0.0020170694,0.0037251918,0.00053119427,0.0030647037,0.005128348,0.0066729747,0.0014102466,-0.0040568532,-0.0040568532,-0.031493753,-0.0049018487,0.0091095185,0.0075723706,0.0,-1.6096257e-08,0.0,0.8225691,0.8225691,0.21603829,0.21603829,0.076621704,0.076621704,0.04482279,0.04482279,0.071542434,0.071542434,0.015692325,0.015692325,0.03195516,0.03195516,0.019325867,0.019325867,-0.034698397,-0.034698397,0.56558126,0.03834027,0.03834027,-0.0025458129,-0.0025458129,0.015907576,0.56558126,0.56558126,0.015907576,0.015907576,0.21600357,0.21600357,0.025124457,0.025124457,0.019892072,0.019892072,-0.039874773,-0.039874773,-0.008994041,-0.008994041,0.4905344,0.4905344,0.4905344,-0.0017820711,-0.0017820711,0.4939651,0.4939651,0.3322688,0.3322688,-0.059201594,-0.059201594,-0.14598967,-0.14598967,0.009859826,0.009859826,0.041086886,0.041086886,-0.0040311194,0.037823353,0.037823353,-0.0040311194,-0.0040311194,0.04273718,0.04273718,0.05454526,0.05454526,-0.0056845825,-0.0056845825,0.3322688,0.3322688,0.013012445,0.013012445,0.005758073,0.03884523,0.03884523,0.019820064,0.019820064,0.0061471877,0.0027906059,0.0027906059,0.0061471877,0.0061471877,0.014184286,0.014184286,0.0035958982,0.0035958982,0.0035958982,-0.0035815318,-0.0035815318,0.0015468163,0.0015468163,-0.0019679237,-0.0019679237,0.014994678,0.014994678,0.0015110398,0.0015110398,-0.029982714,-0.029982714,-0.034039564,-0.034039564,0.4890632,0.4890632,0.04279343,0.04279343,0.013375282,0.013375282,-0.1326144,-0.1326144,0.005758073,0.005758073,0.020584814,0.020584814,0.21603829,0.82256913
7200,-0.2286412,-0.07944606,-0.007511313,0.8184267,0.112421624,0.025747653,0.10015234,0.044859692,-0.017969837,0.0056102257,0.81842667,0.268567,-0.2286412,0.0039377753,0.01708917,-0.039115924,0.023505148,0.026050193,-0.02683775,-0.029331211,0.012529324,0.49920756,0.49443713,0.49063104,0.0002394904,0.0002394904,0.035626262,0.477965,-0.10845205,0.051578052,0.046219915,-0.033226155,0.040773235,0.035626262,0.019598385,0.040995464,0.039866265,0.0042142663,-0.0042142663,0.30397484,0.2845999,0.013503005,0.05713004,0.05713004,0.05713004,0.0570499,0.027041024,0.016628925,0.008137148,0.003806055,0.0015180007,-0.0016983357,0.00039976474,0.009345275,0.015616598,0.0050219293,-0.005699148,-0.0060282936,-0.0060282936,-0.032776188,-0.0066217906,0.005441019,0.007621609,0.0,-1.6096257e-08,0.0,0.81842667,0.81842667,0.21010636,0.21010636,0.080188125,0.080188125,0.048322536,0.048322536,0.078837685,0.078837685,0.016040722,0.016040722,0.027418874,0.027418874,0.02071467,0.02071467,-0.027543945,-0.027543945,0.5316401,0.034178756,0.034178756,-0.009195127,-0.009195127,0.014384936,0.5316401,0.5316401,0.014384936,0.014384936,0.25183737,0.25183737,0.021569481,0.021569481,0.017631706,0.017631706,-0.039687015,-0.039687015,-0.008460752,-0.008460752,0.4933899,0.4933899,0.4933899,-0.0013411463,-0.0013411463,0.4989046,0.4989046,0.32846862,0.32846862,-0.07944606,-0.07944606,-0.16003011,-0.16003011,0.0075096395,0.0075096395,0.040773235,0.040773235,-0.005369204,0.040735796,0.040735796,-0.005369204,-0.005369204,0.046752956,0.046752956,0.05905726,0.05905726,-0.0017864568,-0.0017864567,0.32846862,0.32846862,0.01526585,0.01526585,0.005881396,0.04063421,0.04063421,0.02921027,0.02921027,0.009128065,0.0021001464,0.0021001464,0.009128065,0.009128065,0.029470742,0.029470742,0.009745041,0.009745041,0.009745041,-0.007692031,-0.007692031,0.007924566,0.007924566,0.010554487,0.010554487,-0.0075113135,-0.0075113135,-0.0031668332,-0.0031668332,-0.03594302,-0.03594302,-0.041971315,-0.041971315,0.49228275,0.49228275,0.046488054,0.046488054,0.014157366,0.014157366,-0.14587274,-0.14587274,0.005881396,0.005881396,0.022887457,0.022887457,0.21010636,0.8184267
8100,-0.22808054,-0.07844583,-0.008089395,0.8177604,0.11226265,0.025710924,0.09999337,0.044795096,-0.01780429,0.005732326,0.8177604,0.26801994,-0.22808054,0.0039377753,0.017100822,-0.039115924,0.023493493,0.026038539,-0.026826095,-0.029319558,0.012531263,0.4989302,0.49415973,0.4903537,0.0002394904,0.0002394904,0.035601992,0.47767732,-0.10845205,0.05077325,0.045415115,-0.03303071,0.04085485,0.035601992,0.019563856,0.04094581,0.039816003,0.004182329,-0.004182329,0.30429867,0.2845999,0.01367567,0.057708126,0.057708126,0.057708126,0.057627987,0.027179008,0.016628925,0.008137148,0.003806055,0.0015180007,-0.0018363198,0.00039976474,0.009561752,0.015978204,0.0050219293,-0.005911312,-0.006006428,-0.006006428,-0.032705005,-0.0066088657,0.0054271077,0.0076285214,0.0,-1.6096257e-08,0.0,0.8177604,0.8177604,0.20978984,0.20978984,0.080030575,0.080030575,0.04825679,0.04825679,0.07867873,0.07867873,0.016026286,0.016026286,0.027447497,0.027447497,0.020677939,0.020677939,-0.027594864,-0.027594864,0.5315147,0.034165163,0.034165163,-0.009145484,-0.009145484,0.014391131,0.5315147,0.5315147,0.014391131,0.014391131,0.25128838,0.25128838,0.021581138,0.021581138,0.017643362,0.017643362,-0.039687015,-0.039687015,-0.00846269,-0.00846269,0.4930806,0.4930806,0.4930806,-0.0013411463,-0.0013411463,0.49858233,0.49858233,0.3289651,0.3289651,-0.07844583,-0.07844583,-0.15922531,-0.15922531,0.0076155243,0.0076155243,0.04085485,0.04085485,-0.00534382,0.040646236,0.040646236,-0.00534382,-0.00534382,0.046687208,0.046687208,0.05897823,0.05897823,-0.0018025493,-0.0018025493,0.3289651,0.3289651,0.015589654,0.015589654,0.006047148,0.040881578,0.040881578,0.029650366,0.029650366,0.009266049,0.0021001464,0.0021001464,0.009266049,0.009266049,0.030048821,0.030048821,0.009961517,0.009961517,0.009961517,-0.007841473,-0.007841473,0.008136731,0.008136731,0.010920404,0.010920404,-0.008089396,-0.008089396,-0.0031390572,-0.0031390572,-0.03584406,-0.03584406,-0.04185049,-0.04185049,0.49197346,0.49197346,0.04642487,0.04642487,0.014136747,0.014136747,-0.14508855,-0.14508855,0.006047148,0.006047148,0.023218175,0.023218175,0.20978984,0.8177604
