,10,15,20,35,40,50,60,601,61,101,103,105,107,109,111,113,115,117,119,120,121,123,125,127,129,131,139,141,143,145,147,149,151,153,157,159,161,163,164,166,167,169,171,173,177,179,181,183,184,185,187,189,191,193,195,197,199,201,203,204,205,206,207,208,209,211,213,215,217,219,225,229,231,237,239,241,243,247,249,251,253,255,257,259,261,263,265,267,269,271,273,275,60_330,61_329,101_101,105_105,111_225,111_111,113_114,115_112,115_115,117_119,119_123,119_171,120_297,120_122,121_123,121_122,125_131,127_135,129_145,141_149,151_163,161_179,163_179,169_185,169_183,171_189,179_201,181_315,183_203,185_202,187_209,189_207,189_209,191_223,193_116,193_217,199_229,201_323,205_319,207_237,211_269,213_261,217_257,229_261,237_273,239_275,241_275,247_285,249_295,255_287,255_289,257_303,261_307,263_117,265_321,267_311,269_325,271_191,273_319,275_239,River,Lake,1,2,3
0,44.355297,38.346405,48.158405,44.422264,44.196,42.672,63.706474,92.188065,92.188065,44.355297,44.34585,44.753407,44.751442,44.346016,44.53388,44.54614,44.78064,45.72924,48.022152,47.28083,49.076294,50.434742,48.898518,48.383926,48.380257,48.37408,46.657284,45.433434,42.13653,45.805172,46.08703,46.20616,47.379295,47.40864,47.279,46.25601,45.562035,45.422092,45.422092,45.42209,44.851933,44.85216,44.521828,44.51508,44.41844,44.41429,44.424236,44.415314,44.040127,44.219437,44.433838,44.528088,44.51602,44.54547,44.56708,44.518925,42.92511,42.700813,42.650745,44.358353,42.915596,42.639557,42.701073,42.569836,42.448845,42.408333,42.388317,42.32946,42.32339,42.319874,42.321503,42.36034,42.359043,42.3928,42.39287,42.392895,42.392776,42.39401,42.39401,42.397472,42.433712,42.449947,46.328953,46.19611,45.714737,45.664745,45.03358,44.552177,44.65067,44.451637,42.915596,42.702938,77.94727,92.18777,44.355297,44.753357,44.53388,44.533844,44.54618,44.78057,44.780636,45.729103,48.022324,48.02209,47.280346,47.281116,49.076122,49.076004,48.898468,48.383926,48.38005,45.43266,47.379303,45.561928,45.4222,44.85216,44.852264,44.521782,44.41423,44.42427,44.415188,44.218845,44.4339,44.52806,44.528027,44.51602,44.54547,44.545452,42.92524,42.700813,42.915596,42.70113,42.408333,42.38831,42.32339,42.360344,42.3928,42.39287,42.392895,42.39401,42.39401,42.449936,42.450027,46.32881,45.71469,45.66463,45.033688,44.552177,44.65062,44.451668,42.915596,42.702938,67.056,50.9016,44.196,42.672,48.1584
900,44.39323,38.39944,48.223408,44.45818,44.245552,42.5695,63.709053,92.20532,92.20532,44.39323,44.383728,44.792286,44.79028,44.383877,44.571156,44.583168,44.819023,45.770626,48.069424,47.32623,49.126705,50.484108,48.95139,48.44476,48.441082,48.434906,46.713604,45.48647,42.18957,45.857338,46.1386,46.25749,47.428413,47.457863,47.323685,46.297115,45.600685,45.460243,45.46024,45.460236,44.888004,44.888237,44.55654,44.549717,44.454655,44.450752,44.46015,44.451725,44.071186,44.252876,44.469547,44.56449,44.55285,44.5824,44.604046,44.555855,42.941917,42.715332,42.665268,44.393265,42.931747,42.63975,42.710938,42.559074,42.41907,42.372173,42.351578,42.292717,42.286648,42.28313,42.284763,42.3169,42.315598,42.345543,42.345196,42.345203,42.34508,42.34561,42.34561,42.34755,42.369724,42.385963,46.37189,46.238705,45.75608,45.70596,45.07033,44.588924,44.686863,44.487232,42.931755,42.71641,77.957184,92.205025,44.39323,44.792233,44.571148,44.57112,44.583206,44.818954,44.81902,45.77048,48.069595,48.069363,47.325745,47.326515,49.126534,49.126415,48.95134,48.44476,48.440876,45.4857,47.42842,45.60058,45.46035,44.888233,44.888336,44.556496,44.450695,44.46019,44.451595,44.25228,44.469612,44.56446,44.56443,44.552853,44.5824,44.582382,42.942055,42.715332,42.931747,42.711,42.37217,42.351574,42.286648,42.316902,42.345543,42.345196,42.345203,42.34561,42.34561,42.385952,42.38603,46.371746,45.756035,45.705853,45.070435,44.58892,44.686813,44.487267,42.931755,42.71641,67.056,50.9016,44.245552,42.5695,48.2234
1800,44.431488,38.45227,48.287754,44.494442,44.29347,42.47702,63.71162,92.22255,92.22255,44.431488,44.421932,44.83145,44.829407,44.422066,44.60878,44.620552,44.85772,45.812218,48.1167,47.3717,49.177002,50.533367,49.004055,48.5051,48.50141,48.495235,46.769596,45.5393,42.242397,45.909325,46.190014,46.308666,47.47747,47.50701,47.36848,46.33846,45.639675,45.498745,45.498745,45.49874,44.924515,44.924744,44.591747,44.584854,44.49117,44.48749,44.496414,44.48841,44.102947,44.286846,44.50567,44.60125,44.59004,44.619686,44.64137,44.59314,42.96056,42.731915,42.681847,44.428635,42.949627,42.64158,42.722244,42.550156,42.39151,42.338345,42.317135,42.258274,42.2522,42.248688,42.250313,42.274624,42.273327,42.299465,42.297813,42.297813,42.29769,42.29786,42.297867,42.298763,42.30973,42.325966,46.41498,46.281464,45.797638,45.747395,45.10749,44.62603,44.723446,44.523224,42.949673,42.73234,77.96709,92.222244,44.431488,44.831398,44.608776,44.608746,44.62059,44.857647,44.85771,45.812073,48.11688,48.116642,47.371212,47.371986,49.17683,49.176716,49.00401,48.505096,48.50121,45.53853,47.477474,45.63957,45.498856,44.924744,44.924843,44.5917,44.487434,44.49645,44.48828,44.286243,44.505733,44.601223,44.60119,44.590042,44.619686,44.619667,42.960693,42.731915,42.949627,42.722305,42.33834,42.317123,42.2522,42.274628,42.299465,42.297813,42.297813,42.29786,42.297867,42.325962,42.326023,46.414837,45.797592,45.747284,45.10759,44.62603,44.723396,44.52325,42.949673,42.732338,67.056,50.9016,44.29347,42.47702,48.28775
2700,44.46998,38.504852,48.35147,44.530956,44.339962,42.393776,63.71418,92.23972,92.23972,44.46998,44.46037,44.87082,44.86874,44.460487,44.646656,44.658195,44.896637,45.853935,48.163937,47.41718,49.227154,50.582478,49.0565,48.56495,48.561256,48.55508,46.82524,45.591885,42.294983,45.9611,46.241234,46.35966,47.526417,47.556053,47.413315,46.379967,45.678905,45.53751,45.537506,45.5375,44.96135,44.961582,44.62733,44.620373,44.5279,44.52441,44.53293,44.52529,44.13527,44.321236,44.542107,44.638275,44.627495,44.657227,44.678947,44.63069,42.980755,42.750233,42.700165,44.464344,42.968998,42.645042,42.73497,42.543133,42.366287,42.30701,42.285156,42.22629,42.220226,42.21671,42.218338,42.23396,42.23266,42.25519,42.251575,42.251564,42.251446,42.25152,42.251522,42.25179,42.253933,42.27017,46.458157,46.324314,45.839325,45.78896,45.144947,44.6634,44.760323,44.55949,42.969105,42.750317,77.97695,92.239426,44.46998,44.87077,44.646656,44.646626,44.658237,44.89657,44.896633,45.853794,48.16411,48.163876,47.41669,47.41747,49.226982,49.226864,49.05645,48.56495,48.561047,45.59111,47.52642,45.6788,45.537617,44.96158,44.961685,44.62729,44.524357,44.532963,44.52516,44.320625,44.542164,44.63825,44.63821,44.627495,44.657227,44.65721,42.98089,42.750233,42.968998,42.735035,42.307,42.28515,42.220222,42.233967,42.25519,42.251575,42.251564,42.25152,42.251522,42.270164,42.27021,46.458008,45.839275,45.78885,45.145054,44.6634,44.760273,44.559517,42.969105,42.750313,67.056,50.9016,44.339962,42.393776,48.351467
3600,73.059616,38.638283,48.41458,45.325027,44.385204,42.31907,63.75147,92.49016,92.49016,52.66995,51.870518,49.83134,49.61052,50.105885,48.140087,47.546326,48.391464,48.940426,49.071697,49.07218,49.95748,51.297684,49.66803,48.809826,48.805527,48.79327,47.010685,45.761555,42.42841,46.146088,46.460266,46.595715,48.004055,48.028423,48.320087,47.292843,46.60003,46.453358,46.45335,46.453342,45.84268,45.843136,45.444202,45.436043,45.316402,45.308792,45.32716,45.34645,45.01898,45.263763,45.772797,45.754715,46.56066,46.56523,46.56597,46.993473,43.512836,43.25372,43.201714,45.593586,43.4838,42.948833,43.14193,42.729996,42.350243,42.222927,42.17852,42.06172,42.04968,42.042698,42.045937,42.061832,42.059258,42.098537,42.087444,42.087414,42.087166,42.08688,42.08689,42.086945,42.07982,42.112034,49.0837,49.096447,49.07835,49.14744,46.046814,46.124454,45.768745,45.361046,43.487362,43.24593,78.12081,92.48986,52.670418,49.831703,48.13995,48.140408,47.546467,48.39139,48.39167,48.94035,49.071842,49.071594,49.072186,49.072323,49.957336,49.95734,49.667942,48.809826,48.805313,45.760777,48.004063,46.59992,46.45347,45.843132,45.84325,45.44415,45.30854,45.3272,45.3464,45.262962,45.77279,45.754616,45.75473,46.560787,46.56543,46.565228,43.512997,43.253708,43.4838,43.14202,42.222904,42.1785,42.049675,42.06185,42.09853,42.087444,42.087414,42.08688,42.08689,42.11203,42.11211,49.0837,49.078415,49.147526,46.046925,46.12458,45.768642,45.361084,43.487362,43.245907,67.056,50.9016,44.385197,42.31907,48.41457
4500,73.07738,38.715683,48.502583,45.39408,44.493164,42.22037,63.755234,92.51552,92.51552,52.727367,51.929222,49.897438,49.676853,50.167866,48.20715,47.613888,48.45952,49.011055,49.144,49.144375,50.031322,51.369995,49.744225,48.893703,48.889397,48.877144,47.090797,45.838955,42.50581,46.22276,46.536427,46.671658,48.078037,48.102455,48.391354,47.36267,46.668877,46.522007,46.522007,46.522,45.910538,45.91099,45.511463,45.50323,45.386,45.37887,45.39621,45.415916,45.082867,45.330235,45.840584,45.822838,46.628666,46.633266,46.634018,47.061207,43.56333,43.302563,43.250557,45.660908,43.531525,42.97034,43.177387,42.735683,42.32849,42.191948,42.146534,42.029736,42.017693,42.010715,42.013954,42.014473,42.011898,42.04629,42.030933,42.03087,42.03062,42.02966,42.029682,42.029587,42.013645,42.045868,49.155273,49.16776,49.148792,49.217686,46.114933,46.192543,45.836803,45.429615,43.53584,43.293224,78.13537,92.51522,52.727837,49.897804,48.207016,48.207474,47.61403,48.459446,48.45972,49.01097,49.144146,49.143898,49.14438,49.144516,50.031174,50.031178,49.744137,48.893703,48.889183,45.838173,48.07804,46.668766,46.522118,45.910988,45.911106,45.51141,45.37862,45.39625,45.41586,45.329426,45.84057,45.82274,45.82285,46.628788,46.633457,46.633263,43.56349,43.30255,43.531525,43.177486,42.19192,42.14651,42.017693,42.014492,42.04628,42.030933,42.03087,42.02966,42.029682,42.04586,42.04593,49.15527,49.148857,49.21777,46.115047,46.192665,45.8367,45.429646,43.53584,43.2932,67.056,50.9016,44.493164,42.22037,48.502575
5400,73.09519,38.79289,48.59009,45.463345,44.59871,42.13038,63.759,92.54083,92.54083,52.78497,51.988102,49.96374,49.74339,50.230026,48.27442,47.68167,48.52778,49.081882,49.216267,49.21654,50.105057,51.442204,49.820248,48.977203,48.97289,48.960632,47.17064,45.91616,42.583015,46.299263,46.61243,46.74746,48.151928,48.176395,48.462646,47.432625,46.737915,46.59087,46.59087,46.59086,45.97866,45.979115,45.579033,45.570736,45.45578,45.449074,45.465473,45.485558,45.147167,45.39699,45.908615,45.8912,46.696896,46.701523,46.702297,47.129166,43.614998,43.352676,43.30067,45.728493,43.580402,42.99366,43.214317,42.743587,42.309635,42.1641,42.117687,42.00089,41.988846,41.98187,41.985104,41.96975,41.967175,41.99711,41.97713,41.977036,41.976788,41.97496,41.974987,41.97446,41.95204,41.984257,49.22668,49.238968,49.21956,49.288128,46.183296,46.260868,45.905106,45.498413,43.585503,43.341774,78.14992,92.54055,52.78544,49.964104,48.27429,48.274742,47.681812,48.527702,48.52798,49.081806,49.216415,49.216167,49.216545,49.216686,50.104908,50.104916,49.820164,48.977203,48.972675,45.91538,48.151936,46.737804,46.590984,45.97911,45.979225,45.578976,45.44884,45.465515,45.4855,45.396175,45.908607,45.8911,45.891212,46.697014,46.701717,46.701523,43.615158,43.35266,43.580402,43.214413,42.164074,42.11767,41.988846,41.969772,41.997093,41.97713,41.977036,41.97496,41.974987,41.984257,41.984306,49.22668,49.219624,49.288204,46.18341,46.26099,45.905003,45.498447,43.585503,43.341747,67.056,50.9016,44.59871,42.13038,48.59008
6300,73.113014,38.869884,48.67711,45.53273,44.70196,42.04861,63.762753,92.566124,92.566124,52.84258,52.046997,50.03003,49.809914,50.292225,48.341732,47.74952,48.596054,49.15268,49.288467,49.28866,50.17867,51.514294,49.89609,49.06032,49.056,49.043747,47.250195,45.993156,42.66001,46.375576,46.68826,46.823082,48.225704,48.250217,48.53393,47.502644,46.807076,46.65986,46.65986,46.65985,46.04696,46.04741,45.646812,45.63845,45.525635,45.519333,45.53486,45.55528,45.211777,45.46395,45.976807,45.959713,46.765236,46.769894,46.770687,47.197216,43.66768,43.403896,43.35189,45.796246,43.630283,43.01869,43.252583,42.7536,42.293594,42.13931,42.09191,41.975113,41.96307,41.956097,41.959328,41.927734,41.92516,41.951046,41.92619,41.926056,41.925808,41.922966,41.923008,41.92184,41.894993,41.92721,49.298065,49.310158,49.290295,49.358532,46.251823,46.32933,45.973568,45.567364,43.636208,43.391426,78.16444,92.56583,52.843044,50.03039,48.3416,48.342056,47.749657,48.59598,48.596256,49.152596,49.288612,49.288364,49.288662,49.288795,50.17852,50.178524,49.896,49.06032,49.055786,45.992374,48.225708,46.80696,46.659977,46.04741,46.047523,45.64676,45.519104,45.5349,45.555225,45.463123,45.976795,45.959614,45.95972,46.76536,46.77009,46.769894,43.66784,43.40388,43.630287,43.25269,42.139275,42.09189,41.96307,41.927757,41.951027,41.92619,41.926056,41.922974,41.923008,41.927208,41.927254,49.29806,49.29036,49.358616,46.251934,46.329456,45.973465,45.567394,43.636204,43.391396,67.056,50.9016,44.70196,42.04861,48.677105
7200,73.56989,39.75263,48.76366,46.239117,44.803032,41.97463,63.7934,92.77299,92.77299,54.31817,53.569443,51.258373,51.0424,51.805298,49.470535,48.78039,49.662064,50.02501,49.986214,50.041313,50.780014,52.10321,50.42096,49.31041,49.307156,49.29991,47.86287,46.846893,43.542755,47.282497,47.61279,47.75239,49.12715,49.149044,49.251743,48.242302,47.55839,47.409584,47.40958,47.409576,46.788074,46.788345,46.37459,46.36641,46.22532,46.21229,46.241276,46.26177,45.957993,46.206608,46.754826,46.725754,47.644882,47.645428,47.643578,48.155033,44.437172,44.173965,44.122383,46.561817,44.398785,43.69896,43.98824,43.371113,42.802197,42.61113,42.57191,42.502914,42.495804,42.491676,42.493587,42.23048,42.228954,42.225037,42.128754,42.127884,42.12774,42.103565,42.10373,42.079697,41.98934,42.008377,50.142727,50.16791,50.173172,50.26864,46.99656,47.13184,46.731087,46.279804,44.40494,44.157207,78.283195,92.7727,54.31861,51.25877,49.470375,49.470917,48.780533,49.66201,49.662296,50.024952,49.986343,49.986137,50.041367,50.04143,50.779884,50.779896,50.420845,49.31041,49.30698,46.84612,49.12716,47.558273,47.4097,46.788345,46.78846,46.37454,46.211906,46.241325,46.261734,46.205795,46.754807,46.725643,46.725777,47.645027,47.64565,47.645428,44.43733,44.173946,44.398785,43.988354,42.61107,42.571857,42.495796,42.23053,42.224976,42.128746,42.127895,42.10357,42.103725,42.008396,42.00836,50.142735,50.17326,50.26876,46.99667,47.131985,46.730976,46.279846,44.404938,44.157166,67.056,50.9016,44.80303,41.97463,48.76365
8100,73.593994,39.851948,48.868515,46.34119,44.938663,42.01169,63.798317,92.806244,92.806244,54.395947,53.64918,51.347275,51.131874,51.89022,49.564167,48.875862,49.756065,50.12026,50.083103,50.137264,50.876556,52.197758,50.518852,49.412785,49.409523,49.402287,47.963474,46.94621,43.642075,47.381416,47.711433,47.850925,49.224674,49.246574,49.34939,48.341,47.6578,47.509167,47.509167,47.509163,46.888386,46.888657,46.475365,46.467155,46.327847,46.31524,46.34335,46.36418,46.058025,46.307568,46.855095,46.82628,47.743156,47.74371,47.741882,48.251976,44.53252,44.26879,44.21721,46.66233,44.493034,43.783127,44.07785,43.449112,42.869488,42.67482,42.635227,42.56623,42.55912,42.554993,42.556904,42.284172,42.282654,42.277885,42.178074,42.17717,42.177025,42.151794,42.151962,42.126728,42.03137,42.0504,50.237743,50.262756,50.267834,50.362816,47.096622,47.231415,46.83159,46.38152,44.499516,44.25137,78.302284,92.805954,54.396393,51.34767,49.56401,49.56455,48.876007,49.756016,49.756298,50.1202,50.083233,50.083023,50.137318,50.137383,50.876427,50.87644,50.51874,49.412785,49.40935,46.94544,49.224678,47.65768,47.50928,46.888657,46.88877,46.47531,46.31486,46.343395,46.364143,46.30675,46.855076,46.826164,46.826294,47.7433,47.743935,47.74371,44.532677,44.268772,44.49304,44.077965,42.67476,42.63517,42.55912,42.284225,42.27782,42.178062,42.17718,42.1518,42.15196,42.050423,42.05039,50.237747,50.26792,50.362934,47.096737,47.23156,46.83147,46.38156,44.499516,44.251328,67.056,50.9016,44.938663,42.01169,48.8685
