,10,15,20,35,40,50,60,601,61,101,103,105,107,109,111,113,115,117,119,120,121,123,125,127,129,131,139,141,143,145,147,149,151,153,157,159,161,163,164,166,167,169,171,173,177,179,181,183,184,185,187,189,191,193,195,197,199,201,203,204,205,206,207,208,209,211,213,215,217,219,225,229,231,237,239,241,243,247,249,251,253,255,257,259,261,263,265,267,269,271,273,275,60_330,61_329,101_101,105_105,111_225,111_111,113_114,115_112,115_115,117_119,119_123,119_171,120_297,120_122,121_123,121_122,125_131,127_135,129_145,141_149,151_163,161_179,163_179,169_185,169_183,171_189,179_201,181_315,183_203,185_202,187_209,189_207,189_209,191_223,193_116,193_217,199_229,201_323,205_319,207_237,211_269,213_261,217_257,229_261,237_273,239_275,241_275,247_285,249_295,255_287,255_289,257_303,261_307,263_117,265_321,267_311,269_325,271_191,273_319,275_239,River,Lake,1,2,3
0,-0.45030272,28.592802,8.839204,40.612263,3.9928799,7.1628,63.70647,92.18806,92.18806,31.553696,31.23945,36.06661,38.045837,38.158573,41.485874,43.936535,40.513435,41.58396,47.41255,47.28083,49.68589,47.081936,45.54572,31.315125,32.835457,46.545277,37.20848,44.21423,43.50813,45.50037,40.448227,41.329357,37.168495,27.230879,43.286118,44.427208,44.34283,43.89809,43.89809,46.03169,46.37593,46.376156,45.741028,45.734276,41.98004,41.975887,41.985836,41.06251,39.163322,39.342636,40.623833,43.308884,36.89602,39.05907,39.842678,37.508522,43.53471,42.67033,42.041145,37.95755,36.514793,42.334755,39.95787,37.69303,43.058445,40.27473,40.254715,40.195854,40.494587,41.10067,39.8831,39.15994,40.83504,38.1256,38.430473,38.430492,38.125572,36.907608,36.907608,33.25347,31.46091,34.22035,41.14735,38.576107,45.714737,45.664745,45.03358,38.151375,44.65067,42.622833,40.477192,39.654938,77.947266,92.18777,31.553696,36.066555,41.485874,41.485844,43.936577,40.513367,40.513435,41.58382,47.412724,47.412487,47.280346,47.281113,49.68572,49.6856,45.545666,31.315125,32.83525,44.21346,37.168503,44.342724,43.898197,46.376156,46.37626,45.74098,41.975826,41.98587,41.062386,39.342045,40.623898,43.308857,43.308823,36.89602,39.05907,39.05905,43.53484,42.67033,36.514793,39.957928,40.27473,40.254707,40.494587,39.159943,38.1256,38.430473,38.430492,36.907608,36.907608,34.220333,34.220425,41.14721,45.714687,45.66463,45.033688,38.151375,44.650616,42.622868,40.477192,39.654938,0.0,0.0,3.9928799,7.1628,8.839199
900,-0.41237015,28.645842,8.904205,40.64818,4.0424304,7.0602994,63.70905,92.205315,92.205315,31.591627,31.277327,36.105484,38.08468,38.196438,41.52315,43.973564,40.55182,41.625343,47.459824,47.32623,49.7363,47.131306,45.598587,31.375957,32.89628,46.606102,37.264805,44.26727,43.56117,45.552536,40.499798,41.380688,37.21761,27.2801,43.330803,44.46831,44.381485,43.93624,43.936237,46.06983,46.412003,46.41223,45.77574,45.768917,42.016254,42.01235,42.021748,41.098923,39.19438,39.376076,40.659546,43.345287,36.932846,39.095997,39.879642,37.545452,43.551517,42.684853,42.055664,37.99246,36.530945,42.33495,39.967735,37.68227,43.02867,40.23857,40.217976,40.159115,40.457844,41.06393,39.84636,39.116497,40.7916,38.07834,38.382797,38.382797,38.077877,36.85921,36.85921,33.20355,31.396925,34.15636,41.19029,38.618702,45.75608,45.705956,45.07033,38.18812,44.686863,42.658432,40.493355,39.66841,77.957184,92.20502,31.591627,36.105434,41.523148,41.523117,43.973602,40.55175,40.55182,41.6252,47.459995,47.45976,47.32574,47.32651,49.73613,49.73601,45.598537,31.375957,32.896072,44.266495,37.217617,44.38138,43.936348,46.41223,46.412334,45.775692,42.012295,42.021786,41.098793,39.37548,40.65961,43.345257,43.345226,36.93285,39.095997,39.095978,43.55165,42.684853,36.530945,39.967796,40.238564,40.21797,40.457844,39.116497,38.07834,38.382797,38.382797,36.85921,36.85921,34.156353,34.156425,41.190147,45.756035,45.70585,45.070435,38.188118,44.68681,42.658466,40.493355,39.66841,0.0,0.0,4.0424304,7.0602994,8.904201
1800,-0.37411204,28.698668,8.9685545,40.68444,4.0903482,6.967821,63.711617,92.22255,92.22255,31.629889,31.315529,36.14465,38.123806,38.234623,41.56078,44.01095,40.59052,41.666935,47.5071,47.371696,49.7866,47.18057,45.651253,31.436298,32.956608,46.66643,37.320797,44.320095,43.613995,45.604523,40.551212,41.431866,37.26667,27.32925,43.3756,44.50966,44.42047,43.974743,43.974743,46.108337,46.448513,46.44874,45.810947,45.804054,42.052765,42.049088,42.058014,41.13561,39.226147,39.410046,40.69567,43.38205,36.970036,39.13328,39.916965,37.582737,43.570156,42.70143,42.072247,38.02783,36.548824,42.336777,39.979042,37.673355,43.00111,40.204746,40.18353,40.12467,40.4234,41.029484,39.811913,39.074223,40.749325,38.032265,38.33541,38.33541,38.03049,36.81146,36.811462,33.15476,31.336927,34.096363,41.23338,38.66146,45.797638,45.74739,45.107487,38.22523,44.723446,42.69442,40.511272,39.684338,77.96708,92.22224,31.629889,36.144596,41.560772,41.560745,44.010986,40.590446,40.59051,41.66679,47.50728,47.507034,47.37121,47.371986,49.786427,49.786316,45.651207,31.436293,32.956406,44.31933,37.266674,44.420364,43.974854,46.44874,46.44884,45.810898,42.04903,42.058044,41.13548,39.40944,40.695732,43.382023,43.381985,36.97004,39.13328,39.133266,43.570293,42.70143,36.548824,39.979103,40.20474,40.18352,40.4234,39.074226,38.032265,38.33541,38.33541,36.81146,36.811462,34.09636,34.09642,41.233234,45.79759,45.74728,45.10759,38.22523,44.723392,42.694447,40.511272,39.684334,0.0,0.0,4.0903482,6.967821,8.96855
2700,-0.33562136,28.751251,9.032271,40.720955,4.136843,6.8845754,63.714176,92.23972,92.23972,31.668379,31.35397,36.184017,38.16314,38.273045,41.598656,44.04859,40.629436,41.708656,47.554333,47.41718,49.836754,47.229675,45.703697,31.496147,33.016453,46.726276,37.37644,44.37268,43.66658,45.656303,40.602432,41.482857,37.315613,27.378288,43.420433,44.551163,44.459705,44.013508,44.0135,46.147095,46.485344,46.48558,45.846527,45.839573,42.0895,42.086006,42.094524,41.17249,39.258465,39.44443,40.7321,43.419075,37.007496,39.170826,39.954544,37.62029,43.59035,42.719753,42.090565,38.06354,36.568195,42.340244,39.991768,37.666332,42.975887,40.173405,40.151554,40.092693,40.391426,40.997505,39.779938,39.033554,40.708656,37.98799,38.289173,38.289165,37.984245,36.765118,36.76512,33.107788,31.281132,34.04057,41.276554,38.70431,45.83932,45.78896,45.144947,38.2626,44.760323,42.73069,40.5307,39.702316,77.97695,92.23942,31.668379,36.183968,41.598656,41.59862,44.048637,40.629364,40.62943,41.70851,47.554504,47.554276,47.41669,47.41747,49.836582,49.836464,45.703648,31.496147,33.016247,44.371906,37.31562,44.459595,44.013615,46.485577,46.485683,45.84649,42.085957,42.09456,41.17236,39.443825,40.732162,43.41905,43.41901,37.007496,39.170826,39.170807,43.59049,42.719753,36.568195,39.99183,40.173397,40.151546,40.391422,39.033566,37.98799,38.289173,38.289165,36.765118,36.76512,34.04056,34.040607,41.276405,45.83927,45.788845,45.145054,38.2626,44.760273,42.730717,40.5307,39.70231,0.0,0.0,4.136843,6.8845754,9.032267
3600,28.254013,28.884684,9.09538,41.51503,4.182082,6.809868,63.751465,92.49016,92.49016,39.868347,38.764114,41.14454,42.90492,43.918446,45.092083,46.936726,44.124264,44.795147,48.462097,49.07218,50.567078,47.94488,46.315228,31.741024,33.260727,46.964466,37.561882,44.542355,43.800007,45.841286,40.821465,41.718914,37.793255,27.85066,44.327206,45.464043,45.38083,44.92935,44.929348,47.06294,47.366676,47.367134,46.6634,46.655235,42.878,42.870388,42.888756,41.99365,40.142178,40.386963,41.962795,44.53551,38.94066,41.07883,41.841568,39.98307,44.122437,43.223236,42.59211,39.192783,37.082996,42.644035,40.398727,37.853195,42.959843,40.089325,40.044918,39.92812,40.22088,40.823498,39.607536,38.86143,40.535255,37.831333,38.125046,38.12501,37.819965,36.600475,36.60049,32.942944,31.107016,33.88243,43.902096,41.476444,49.078346,49.147438,46.046814,39.723656,45.76874,43.53224,41.048958,40.197926,78.12081,92.48985,39.868816,41.1449,45.09195,45.092403,46.936867,44.12419,44.12447,44.795067,48.462242,48.461994,49.072186,49.07232,50.566933,50.56694,46.315136,31.741024,33.260513,44.541573,37.79326,45.380714,44.929466,47.367126,47.367245,46.663345,42.87014,42.888798,41.9936,40.38616,41.962788,44.535416,44.535526,38.940784,41.079025,41.078823,44.122593,43.22323,37.082996,40.39882,40.0893,40.0449,40.22087,38.86145,37.831326,38.125046,38.12501,36.600475,36.60049,33.882427,33.882507,43.902096,49.07841,49.147526,46.046925,39.723778,45.76864,43.53228,41.048958,40.197903,0.0,0.0,4.182078,6.809868,9.09537
4500,28.271774,28.962084,9.183383,41.584076,4.2900434,6.7111716,63.755234,92.51551,92.51551,39.925766,38.82282,41.210636,42.971252,43.98042,45.159145,47.004288,44.192314,44.865772,48.534397,49.14437,50.640923,48.017193,46.391422,31.824902,33.344593,47.04834,37.641994,44.61975,43.877407,45.91796,40.89762,41.794857,37.867237,27.924692,44.39847,45.533867,45.449673,44.998005,44.998005,47.131596,47.434536,47.43499,46.730663,46.72243,42.947598,42.940468,42.95781,42.063114,40.206066,40.453434,42.030582,44.603634,39.008663,41.146862,41.90962,40.050804,44.17293,43.27208,42.640953,39.260105,37.130722,42.66554,40.43419,37.858883,42.938087,40.058346,40.01293,39.896133,40.18889,40.79151,39.57555,38.81407,40.487896,37.77909,38.06853,38.068466,37.763416,36.54326,36.543278,32.885586,31.040842,33.816265,43.97367,41.547756,49.148785,49.217678,46.114933,39.791744,45.8368,43.60081,41.09744,40.24522,78.13537,92.51522,39.926235,41.211002,45.15901,45.15947,47.00443,44.192245,44.19252,44.86569,48.534542,48.534298,49.144375,49.144516,50.64077,50.640778,46.391335,31.824902,33.344383,44.618973,37.86724,45.449562,44.998116,47.434986,47.435104,46.73061,42.94022,42.95785,42.063057,40.45262,42.030567,44.60354,44.603645,39.008785,41.147057,41.14686,44.173088,43.27207,37.130722,40.434284,40.05832,40.01291,40.18889,38.81409,37.77908,38.06853,38.068466,36.54326,36.543278,33.81626,33.816322,43.973667,49.148857,49.217766,46.115047,39.791862,45.836697,43.600845,41.09744,40.245197,0.0,0.0,4.2900434,6.7111716,9.183374
5400,28.289593,29.039288,9.270889,41.653343,4.3955903,6.6211767,63.758995,92.54083,92.54083,39.983368,38.8817,41.27694,43.037785,44.042583,45.22642,47.07207,44.26058,44.9366,48.606663,49.216537,50.714657,48.089405,46.467445,31.908401,33.42809,47.131824,37.721836,44.696957,43.954613,45.994457,40.97363,41.87066,37.941124,27.998634,44.469765,45.603825,45.51871,45.066864,45.066864,47.200455,47.502655,47.503113,46.79823,46.789932,43.017376,43.01067,43.02707,42.132755,40.270363,40.52019,42.098614,44.671997,39.076893,41.21512,41.977898,40.118763,44.224598,43.322193,42.691067,39.32769,37.1796,42.688858,40.471115,37.866787,42.919235,40.0305,39.984085,39.867287,40.160046,40.76267,39.546703,38.76935,40.443172,37.729904,38.01473,38.014633,37.709587,36.48856,36.488586,32.83046,30.979237,33.754654,44.04508,41.618965,49.21956,49.288124,46.183296,39.86007,45.9051,43.669613,41.147102,40.293774,78.14991,92.54054,39.983837,41.2773,45.226284,45.22674,47.072212,44.2605,44.26078,44.936523,48.60681,48.606567,49.21654,49.216682,50.714504,50.71451,46.46736,31.908401,33.427876,44.696175,37.941135,45.5186,45.066982,47.50311,47.503223,46.798176,43.01044,43.02711,42.132698,40.51937,42.098606,44.671898,44.672012,39.07701,41.215317,41.21512,44.224754,43.322178,37.1796,40.471214,40.03047,39.984066,40.160046,38.76937,37.729893,38.01473,38.014633,36.48856,36.488586,33.754654,33.754704,44.04508,49.219624,49.288204,46.183407,39.860188,45.905,43.669643,41.147102,40.293743,0.0,0.0,4.3955903,6.6211767,9.27088
6300,28.307415,29.116283,9.357907,41.722725,4.49884,6.53941,63.76275,92.56612,92.56612,40.040977,38.940594,41.343227,43.10431,44.104782,45.29373,47.139915,44.32885,45.007397,48.678864,49.288654,50.788265,48.16149,46.543285,31.99152,33.5112,47.214943,37.80139,44.773956,44.03161,46.07077,41.049454,41.94628,38.0149,28.072456,44.54105,45.673847,45.587868,45.135857,45.135857,47.269447,47.570953,47.571404,46.866013,46.85765,43.087234,43.080933,43.096455,42.20248,40.334972,40.58715,42.166805,44.74051,39.145233,41.283493,42.046284,40.186813,44.27728,43.373413,42.742287,39.395443,37.22948,42.713886,40.50938,37.876797,42.903194,40.005707,39.95831,39.84151,40.13427,40.736893,39.520924,38.727333,40.401154,37.68384,37.963787,37.963654,37.658607,36.436565,36.436607,32.77784,30.92219,33.697613,44.116463,41.690155,49.290295,49.358532,46.25182,39.928528,45.973564,43.73856,41.197803,40.343426,78.16444,92.56583,40.041443,41.34359,45.2936,45.294052,47.140053,44.32878,44.329056,45.007313,48.67901,48.67876,49.288662,49.288795,50.788116,50.78812,46.543198,31.99152,33.510986,44.77317,38.014908,45.58776,45.135975,47.571404,47.57152,46.865955,43.080704,43.0965,42.202423,40.58632,42.166794,44.740414,44.74052,39.14536,41.283688,41.283493,44.277435,43.373398,37.229485,40.50949,40.005672,39.958286,40.13427,38.727356,37.683823,37.963787,37.963654,36.43657,36.436607,33.69761,33.697655,44.11646,49.290356,49.358612,46.25193,39.928654,45.973465,43.738594,41.1978,40.34339,0.0,0.0,4.49884,6.53941,9.3579035
7200,28.764296,29.99903,9.44446,42.429115,4.5999126,6.4654284,63.793396,92.77299,92.77299,41.516567,40.46304,42.57157,44.3368,45.61786,46.42253,48.170788,45.394863,45.879726,49.376614,50.04131,51.389614,48.75041,47.06816,32.241608,33.762352,47.47111,38.41407,45.62769,44.914352,46.97769,41.973984,42.87559,38.916348,28.97128,45.25886,46.413498,46.33919,45.885582,45.88558,48.019173,48.312073,48.312344,47.593792,47.585606,43.786915,43.77389,43.80287,42.908966,41.08119,41.329807,42.944824,45.50655,40.024883,42.159023,42.919174,41.144634,45.046772,44.143482,43.51278,40.16102,37.997982,43.394157,41.24504,38.494312,43.411797,40.477528,40.438305,40.369312,40.667,41.272476,40.055187,39.030075,40.704952,37.957836,38.16635,38.16548,37.86054,36.617165,36.61733,32.935696,31.016539,33.778774,44.961124,42.54791,50.173164,50.268635,46.996555,40.73104,46.731087,44.451,41.966537,41.109207,78.283195,92.7727,41.51701,42.571968,46.422375,46.422913,48.170933,45.39481,45.395092,45.87967,49.376743,49.376534,50.041363,50.041428,51.389477,51.389496,47.068043,32.241608,33.76218,45.62692,38.91636,46.339073,45.885696,48.312344,48.312458,47.593735,43.773502,43.802925,42.90893,41.328995,42.944805,45.50644,45.506573,40.025024,42.15925,42.159023,45.04693,44.143463,37.997982,41.24515,40.477467,40.438255,40.666996,39.03013,37.957775,38.166344,38.165493,36.61717,36.61732,33.778793,33.77876,44.961132,50.173256,50.26876,46.99667,40.731182,46.730972,44.451046,41.966534,41.10916,0.0,0.0,4.599908,6.4654284,9.444447
8100,28.788395,30.098347,9.5493145,42.53119,4.7355413,6.502486,63.798313,92.806244,92.806244,41.594345,40.542778,42.660473,44.426273,45.702778,46.516163,48.266262,45.48886,45.974976,49.4735,50.13726,51.48615,48.844955,47.16605,32.343983,33.864723,47.573486,38.51467,45.72701,45.013676,47.07661,42.072628,42.974125,39.013874,29.068813,45.356506,46.512196,46.438595,45.985165,45.985165,48.11876,48.412384,48.41265,47.69456,47.68635,43.889446,43.876835,43.904945,43.01138,41.181225,41.430767,43.045094,45.60708,40.123154,42.257305,43.01748,41.241573,45.142117,44.238308,43.60761,40.261528,38.09223,43.478325,41.33465,38.572308,43.479084,40.541218,40.501625,40.43263,40.730316,41.335793,40.118504,39.08377,40.75865,38.01068,38.21567,38.21477,37.909824,36.665394,36.66556,32.982723,31.058569,33.8208,45.05614,42.642754,50.26783,50.362812,47.09662,40.830612,46.831585,44.552715,42.061115,41.203365,78.30228,92.805954,41.59479,42.66087,46.51601,46.51654,48.266407,45.488815,45.489098,45.97492,49.47363,49.47342,50.137314,50.13738,51.486023,51.48604,47.165936,32.343983,33.86455,45.72624,39.013878,46.43848,45.985283,48.41265,48.41277,47.694508,43.87646,43.90499,43.01134,41.429947,43.045074,45.606964,45.607094,40.1233,42.25753,42.257305,45.142273,44.23829,38.092236,41.334763,40.541157,40.501568,40.730316,39.083824,38.01062,38.21566,38.21478,36.665398,36.665558,33.82082,33.820786,45.05615,50.26792,50.36293,47.096733,40.830757,46.83147,44.552757,42.061115,41.203323,0.0,0.0,4.7355413,6.502486,9.5493
